"eBay Motors","eBay Auto"
"Edit Primary Categories","Modifier les catégories principales"
"Edit Store Primary Categories","Modifier les catégories principales des Boutiques"
"eBay Primary Category","Catégorie principale eBay"
"eBay Secondary Category","Catégorie secondaire eBay"
"eBay Store Primary Category","Catégorie principale de la Boutique eBay"
"eBay Store Secondary Category","Catégorie secondaire de la Boutique eBay"
"Not Selected","Non sélectionné"
"Magento Attribute -> %s","Attribut Magento -> %s"
"Done","Terminé"
"Cancel","Annuler"
"Set eBay Categories","Définir les catégories eBay"
"Set eBay Categories (Based On Magento Categories)","Définir les catégories eBay (en fonction des catégories Magento)"
"Store Primary Category","Catégorie principale de la Boutique"
"Store Secondary Category","Catégorie secondaire de la Boutique"
"Category type is not set.","Le type de catégorie n'est pas défini."
"Recently Used","Utilisées récemment"
"Browse","Parcourir"
"Search","Rechercher"
"Set Your eBay Categories","Définir les catégories eBay"
"Product ID","Code produit"
"Product Title","Nom du produit"
"Get Suggested Primary Category","Suggestion d'une catégorie principale"
"Reset Categories","Réinitialiser les catégories"
"Remove Item","Supprimer l'objet"
"Get Suggested Primary Categories","Suggestions de catégories principales"
"Remove Item(s)","Supprimer les objets"
"Primary eBay Category","Catégorie principale eBay"
"Secondary eBay Category","Catégorie secondaire eBay"
"Primary eBay Store Category","Catégorie principale de la Boutique eBay"
"Secondary eBay Store Category","Catégorie secondaire de la Boutique eBay"
"You have not selected the Primary eBay Category for some products.","La catégorie principale eBay n'est pas sélectionnée pour certains produits."
"Are you sure?","Etes-vous sûr ?"
"eBay could not assign categories for %s products.","eBay n'a pas pu affecter les catégories pour %s produits."
"Suggested Categories were successfully received for %s product(s).","Des suggestions de catégories ont été reçues pour %s produits."
"Set eBay Category","Définir la catégorie eBay"
"Set eBay Category for Product(s)","Définir la catégorie eBay pour les produits"
"Set eBay Primary Category for Product(s)","Définir la catégorie principale eBay pour les produits"
"eBay Same Categories","Catégories identiques eBay"
"Yes","Oui"
"No","Non"
"eBay Categories Specifics","Caractéristiques des catégories eBay"
"Next Category","Catégorie suivante"
"Loading. Please wait","Chargement. Veuillez patienter"
"Add Custom Specific","Ajouter une caractéristique personnalisée"
"Title / Info","Titre/informations"
"Total Items","Total des objets"
"Active Items","Objets en vente actuellement"
"Inactive Items","Objets inactifs"
"Sold QTY","Quantité vendue "
"Clear Log(s)","Effacer les journaux"
"Delete Listing(s)","Supprimer les annonces"
"Admin (Default Values)","Administrateur (valeurs par défaut)"
"Magento Store View","Vue Boutique Magento"
"Manage Products","Gérer les produits"
"Add Products from Products List","Ajouter des produits à partir de la liste"
"Add Products from Categories","Ajouter des produits à partir des catégories"
"Automatic Actions","Tâches automatiques"
"View Logs","Afficher les journaux"
"Delete Listing","Supprimer l'annonce"
"Edit Listing Title","Modifier le titre de l'annonce"
"Edit Listing Settings","Modifier les paramètres de l'annonce"
"&nbsp;- Payment And Shipping","&nbsp;- Paiement et livraison"
"&nbsp;- Selling","&nbsp;- Vente"
"&nbsp;- Synchronization","&nbsp;- Synchronisation"
"Log For%s Listing","Journal de%s l'annonce"
"Show General Log","Afficher le journal général"
"Listings were not found.","Annonces introuvables."
"eBay Item ID","Numéro de l'objet eBay"
"Product Name","Nom du produit"
"Action","Action"
"Description","Description"
"Run Mode","Mode d'exécution"
"Priority","Priorité"
"Log For%s 3rd Party Listing","Journal de%s l'annonce tierce"
"Source","Source"
"Revise Rules","Règles de modification"
"Relist Rules","Règles de remise en vente"
"Stop Rules","Règles d'arrêt"
"Edit%s 3rd Party Synchronization Settings","Modifier%s les paramètres de synchronisation tiers"
"Product Title / SKU","Titre du produit/Référence article"
"eBay Available QTY","Quantité disponible eBay"
"eBay Sold QTY","Quantité vendue eBay"
"eBay Price","Prix eBay"
"Status","Statut"
"Listed","Mis en vente"
"Listed (Hidden)","Mis en vente (masqué)"
"Sold","Vendu"
"Stopped","Arrêté"
"Finished","Terminé"
"Pending","En attente"
"Start Date","Date de début"
"End Date","Date de fin"
"Unmap","Démapper"
"View Log","Afficher le journal"
"Clear Log","Effacer le journal"
"Revise Item(s)","Modifier les annonces"
"Relist Item(s)","Remettre les objets en vente"
"Stop Item(s)","Arrêter la vente des objets"
"Map Item(s) Automatically","Mapper les objets automatiquement"
"Move Item(s) to Listing","Déplacer les objets vers une annonce"
"Map","Mapper"
"Move","Déplacer"
"SKU","Référence article"
"Revise","Modifier"
"Relist","Remettre en vente"
"Stop","Arrêter"
"Status Change","Modification de statut"
"Manual","Manuel"
"Automatic","Automatique"
"Mapping Product","Mappage du produit"
"Product does not exist.","Le produit n'existe pas."
"Please enter correct product ID.","Saisissez le code produit correct."
"Product(s) was successfully mapped.","Les produits ont été mappés."
"Please enter correct product ID or SKU","Saisissez le code produit correct ou la référence article"
"Moving eBay Items.","Déplacement des objets eBay."
"Products failed to move","Les produits n'ont pas pu être déplacés"
"Product(s) was successfully moved.","Les produits ont été déplacés."
"Products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Les produits n'ont pas été déplacés. <a target=""_blank"" href=""%s"">Afficher le journal</a> pour plus de détails."
"Some of the products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Certains produits n'ont pas été déplacés. <a target=""_blank"" href=""%s"">Afficher le journal</a> pour plus de détails."
"Product was successfully mapped.","Le produit a été mappé."
"Current eBay version only supports simple products in mapping. Please, choose simple product.","La version actuelle d'eBay prend uniquement en charge le mappage des produits simples. Veuillez choisir un produit simple."
"Processing %s product(s).","Traitement des produits %s."
"Task completed. Please wait ...","Fin de la tâche. Veuillez patienter..."
"""%s"" task has successfully completed.","La tâche « %s » est terminée."
"""%s"" task has completed with warnings. <a target=""_blank"" href=""%s"">View log</a> for details.","La tâche « %s » s'est terminée avec des avertissements. <a target=""_blank"" href=""%s"">Afficher le journal</a> pour plus de détails."
"""%s"" task has completed with errors. <a target=""_blank"" href=""%s"">View log</a> for details.","La tâche « %s » s'est terminée avec des erreurs. <a target=""_blank"" href=""%s"">Afficher le journal</a> pour plus de détails."
"Sending %s product(s) data on eBay.","Envoi de données produits %s sur eBay."
"View All Product Log.","Afficher le journal de tous les produits."
"The listing was locked by another process. Please try again later.","L'annonce a été verrouillée par un autre processus. Veuillez réessayer ultérieurement."
"Listing is empty.","L'annonce est vide."
"Listing All Items On eBay","Mise en vente de tous les objets sur eBay"
"Listing Selected Items On eBay","Mise en vente des objets sélectionnés sur eBay"
"Revising Selected Items On eBay","Modification des objets sélectionnés sur eBay"
"Relisting Selected Items On eBay","Remise en vente des objets sélectionnés sur eBay"
"Stopping Selected Items On eBay","Arrêt de la vente des objets sélectionnés sur eBay"
"Stopping On eBay And Removing From Listing Selected Items","Arrêt de la vente des objets sélectionné sur eBay et suppression de ces objets de l'annonce"
"Map Item(s) to Products","Mapper les objets vers des produits"
"Only mapped products must be selected.","Seuls des produits mappés doivent être sélectionnés."
"Selected items must belong to the same Account and Marketplace.","Les objets sélectionnés doivent appartenir au même compte et à la même place de marché."
"Please select items.","Veuillez sélectionner des objets."
"Please select action.","Sélectionnez une action."
"Stock Availability","Disponibilité"
"In Stock","En stock"
"Out of Stock","En rupture de stock"
"Price","Prix"
"Qty","Qté"
"Based on Magento Categories","En fonction des catégories Magento"
"You must select at least 1 category.","Vous devez sélectionner au moins 1 catégorie."
"Rule with the same title already exists.","Une règle ayant le même titre existe déjà."
"Listing Settings Customization","Personnalisation des paramètres de l'annonce"
"eBay/Magento Integration: Products Management","Intégration eBay/Magento : Gestion des produits"
"Congratulations","Félicitations"
"Review Your Items","Vérifier les objets"
"List Your Items Now","Mettre les objets en vente"
"Remove","Supprimer"
"of","sur"
"Visibility","Visibilité"
"Websites","Sites Web"
"Select Products","Sélectionner les produits"
"Start Configure","Commencer la configuration"
"<b>
    Do you want to set up a rule by which products will be automatically added or deleted from the current M2E listing?
</b>.
<br/><br/>
Click Start Configure to create a rule<br/> or Cancel if you do not want to do it now.
<br/><br/>
<b>Note:</b> You can always return to it by clicking Automatic Action button on this page.","<b> Souhaitez-vous définir une règle pour ajouter ou supprimer automatiquement des produits de l'annonce M2E en cours ? </b>.<br/><br/>Cliquez sur Commencer la configuration pour créer une règle<br/> ou sur Annuler si vous ne souhaitez pas la créer maintenant.<br/><br/><b>Remarque :</b> vous pouvez revenir à cette option en cliquant sur le bouton Tâche automatique sur cette page."
"Yes, I Want","Oui"
"No, Skip It","Non merci"
"Do you want to customise M2E Listing settings for the necessary products?","Souhaitez-vous personnaliser les paramètres de l'annonce M2E pour les produits ?"
"It is possible to override default settings you set on the previous steps and set different
        settings for the group of products.","Vous pouvez remplacer les paramètres par défaut définis à l'étape précédente par d'autres paramètres pour le groupe de produits."
"Remember my choice","Se souvenir de mon choix"
"Product Title / Listing / SKU","Titre du produit/Annonce/Référence article"
"Listing Type","Format de l'annonce"
"M2E Pro","M2E Pro"
"3rd Party","Annonces tierces"
"""Buy It Now"" Price","Prix d'Achat immédiat"
"Unknown","Inconnu"
"Not Listed","Non mis en vente"
"Manage","Gérer"
"Listing","Annonce"
"receiving","réception"
"none","aucun"
"Go to listing","Accéder à l'annonce"
"Payment and Shipping Settings","Paramètres de paiement et de livraison"
"Payment","Paiement"
"Use from Listing Settings","Utiliser les paramètres de l'annonce"
"Custom Settings","Paramètres personnalisés"
"M2E Pro Policy","Conditions M2E Pro"
"eBay Policy","Conditions eBay"
"Shipping","Livraison"
"Return","Retour"
"Selling Settings","Paramètres de vente"
"Price, Quantity and Format","Prix, quantité et format"
"Edit Settings","Modifier les paramètres"
"Edit Payment and Shipping Settings","Modifier les paramètres de paiement et de livraison"
"Edit Selling Settings","Modifier les paramètres de vente"
"Edit Synchronization Settings","Modifier les paramètres de synchronisation"
"M2E Pro -> ","M2E Pro -> "
"eBay -> ","eBay -> "
"for","pour"
"Set Products Settings","Définir les paramètres des produits"
"Add Products","Ajouter des produits"
"Payment and Shipping","Paiement et livraison"
"Selling","Vente"
"Edit Listing Settings ""%s"","Modifier les paramètres de l'annonce « %s »"
"Previous Step","Etape précédente"
"Data source is invalid.","La source des données n'est pas valide."
"Session key is not defined.","La clé de session n'est pas définie."
"Save as New Policy","Enregistrer en tant que nouvelles conditions"
"Template nick is not defined.","Le pseudo du modèle n'est pas défini."
"Template mode is not initialized.","Le mode du modèle n'est pas initialisé."
"Product Title / SKU / eBay Category","Titre du produit/référence article/catégorie eBay"
"Available QTY","Quantité disponible"
"Adviser","Consultant"
"List Item(s) on eBay","Mettre les objets en vente sur eBay"
"Revise Item(s) on eBay","Modifier les objets sur eBay"
"Relist Item(s) on eBay","Remettre les objets en vente sur eBay"
"Stop Item(s) on eBay","Arrêter la vente des objets sur eBay"
"Stop on eBay / Remove From Listing","Arrêter la vente sur eBay/supprimer de l'annonce"
"Move Item(s) to Another Listing","Déplacer les objets vers une autre annonce"
"Edit eBay Categories Settings","Modifier les paramètres des catégories eBay"
"eBay Fee","Frais eBay"
"estimate","estimation"
"List","Mettre en vente"
"Stop on Channel / Remove from Listing","Arrêter la vente sur le canal/supprimer de l'annonce"
"Success","Opération réussie"
"Notice","Avis"
"Warning","Avertissement"
"Error","Erreur"
"Product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Les produits n'ont pas été déplacés. <a target=""_blank"" href=""%s"">Afficher le journal</a> pour plus de détails."
"Some product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Certains produits n'ont pas été déplacés. <a target=""_blank"" href=""%s"">Afficher le journal</a> pour plus de détails."
"Estimated Fee Details","Détails de l'estimation des frais"
"Please check eBay Motors compatibility attribute.
            You can find it in %s > Configuration > <a target=""_blank"" href=""%s"">General</a>.","Vérifiez l'attribut de compatibilité eBay Auto. Il se trouve dans le menu %s > Configuration > <a target=""_blank"" href=""%s"">Général</a>."
"Fees are not set.","Les frais ne sont pas définis."
"Errors are not set.","Les erreurs ne sont pas définies."
"eBay","eBay"
"Settings","Paramètres"
"Magento","Magento"
"View Mode","Mode d'affichage"
"View mode is not set.","Le mode d'affichage n'est pas défini."
"eBay Primary Category Assigned","Catégorie principale eBay affectée"
"Compatibility","Compatibilité"
"Filled","Renseigné"
"Empty","Non renseigné"
"Edit eBay Primary Categories Settings","Modifier les paramètres des catégories principales eBay"
"Edit eBay Store Primary Categories Settings","Modifier les paramètres des catégories principales de la Boutique eBay"
"Add Compatible Vehicles","Ajouter des véhicules compatibles"
"Not Set","Non défini"
"Show","Afficher"
"Product","Attribut"
"Attribute","Produit"
"ePIDs","Codes produits eBay"
"Compatibility Attribute ePIDs","Codes produits eBay de l'attribut Compatibilité"
"View Listing","Afficher l'annonce"
"Change Listing","Modifier l'annonce"
"Compatibility Attribute","Attribut Compatibilité"
"From Products List","A partir de la liste de produits"
"From Categories","A partir des catégories"
"Add Listing","Ajouter une annonce"
"Listings","Annonces "
"Update Now","Mettre à jour maintenant"
"Save And Update","Enregistrer et mettre à jour"
"ePID","Code produit eBay"
"Car / Truck","Voiture/camion"
"Motorcycle","Moto"
"Make","Marque"
"Model","Modèle"
"Submodel","Sous-modèle"
"Year","Année"
"Trim","Etat"
"Engine","Moteur"
"Overwrite ePIDs in Compatibility Attribute","Remplacer les codes produits eBay dans l'attribut Compatibilité"
"Add ePIDs to Compatibility Attribute","Ajouter des codes produits eBay à l'attribut Compatibilité"
"Edit Shipping Address","Modifier l'adresse de livraison"
"Save Order Address","Enregistrer l'adresse de la commande"
"Sale Date","Date de vente"
"Magento Order #","N° de commande Magento"
"eBay Order #","N° de commande eBay"
"Items","Objets"
"Total Paid","Total payé"
"Reservation","Réservation"
"Not Reserved","Non réservé"
"Reserved","Réservé"
"Released","Libéré"
"Canceled","Annulé"
"Checkout","Finalisation de l'achat"
"Paid","Payé"
"Shipped","Envoyé"
"View","Afficher"
"Create Order","Créer la commande"
"Mark As Paid","Marquer comme payé"
"Mark As Shipped","Marquer comme envoyé"
"Reserve QTY","Quantité réservée"
"Cancel QTY Reserve","Annuler la quantité réservée"
"Mark Order(s) as Shipped","Marquer les commandes comme envoyées"
"Mark Order(s) as Paid","Marquer les commandes comme payées"
"Resend Shipping Information","Renvoyer les informations de livraison "
"Deleted","Supprimé"
"edit","modifier"
"Options","Options"
"QTY","Quantité"
"Transaction","Transaction"
"Item","Objet"
"Transaction #","N° de la transaction"
"Fee","Frais"
"Amount","Montant"
"Date","Date"
"Incl. Tax","Inclut la "
"Excl. Tax"," "
"Original Price","Prix de départ"
"Tax Percent","Pourcentage de la taxe"
"Row Total","Total de la ligne"
"View on eBay","Afficher sur eBay"
"Map to Magento Product","Mapper vers un produit Magento"
"Set Options","Définir les options"
"View Order Details","Afficher les détails de la commande"
"Mark as Shipped","Marquer comme envoyé"
"Mark as Paid","Marquer comme payé"
"Are you sure that you want to create new Magento Order?","Voulez-vous vraiment créer une commande Magento ?"
"Confirm","Confirmer"
"Run Now","Exécuter maintenant"
"Run Enabled Now","Exécuter les éléments activés"
"Save Settings","Enregistrer les paramètres"
"Subtitle","Sous-titre"
"Condition","Etat"
"Condition Description","Description de l'état"
"Buy It Now Price","Prix d'Achat immédiat"
"Start Price","Prix de départ"
"Reserve Price","Prix de réserve"
"Listing Duration","Durée de la mise en vente"
"Dispatch Time","Délai d'expédition"
"Primary Category Id","Numéro de la catégorie principale"
"Secondary Category Id","Numéro de la catégorie secondaire"
"Store Primary Category Id","Numéro de la catégorie principale de la Boutique"
"Store Secondary Category Id","Numéro de la catégorie secondaire de la Boutique"
"Primary Category Name","Nom de la catégorie principale"
"Secondary Category Name","Nom de la catégorie secondaire"
"Store Primary Category Name","Nom de la catégorie principale de la Boutique"
"Store Secondary Category Name","Nom de la catégorie secondaire de la Boutique"
"Domestic Shipping First Method","Premier mode de service de livraison nationale"
"Domestic Shipping First Cost","Premiers frais du service de livraison nationale"
"Domestic Shipping First Additional Cost","Premiers frais supplémentaires du service de livraison nationale"
"International Shipping First Method","Premier mode de service de livraison internationale"
"International Shipping First Cost","Premiers frais du service de livraison internationale"
"International Shipping First Additional Cost","Premiers frais supplémentaires du service de livraison internationale"
"Insert","Insérer"
"Show / Hide Editor","Afficher/masquer l'éditeur"
"Preview","Prévisualisation"
"View Random Product","Afficher un produit au hasard"
"Edit ""%s"" %s Policy","Modifier les conditions « %s » %s"
"Add %s Policy","Ajouter des conditions %s"
"Duplicate","Dupliquer"
"<br/>
<b>Note:</b> All changes you have made will be automatically applied to all M2E listings where this policy is used.","<br/><b>Remarque :</b> toutes les modifications apportées s'appliquent automatiquement à toutes les annonces M2E qui utilisent ces conditions."
"Template nick is not set.","Le pseudo du modèle n'est pas défini."
"Marketplace is required for editing payment template.","La place de marché doit être spécifiée pour modifier le modèle de paiement."
"Marketplace is required for editing return template.","La place de marché doit être spécifiée pour modifier le modèle de retour."
"Please find more about currency rate set up in'
                . ' <a href=""%s"" target=""_blank"">magento documentation</a>.","Pour en savoir plus sur la configuration du taux de change, consultez la' . ' <a href=""%s"" target=""_blank"">documentation Magento</a>."
"Name","Nom"
"Select","Sélectionner"
"Reset","Réinitialiser"
"Marketplace is required for editing shipping template.","La place de marché doit être spécifiée pour modifier le modèle de livraison."
"Add Policy","Ajouter des conditions"
"eBay DateTime object is null","La valeur de l'objet eBay DateTime est nulle"
"Wrong action type","Type d'action incorrect"
"Listing ""%listingId%"" locked by other process.","L'annonce « %listingId% » est verrouillée par un autre processus."
"Relisting","Remise en vente"
"Revising","Modification"
"Stopping","Arrêt"
"Item is listed or not available","L'objet est mis en vente ou n'est pas disponible"
"Categories settings are not set","Les paramètres des catégories ne sont pas définis"
"There is another item with the same eBay user ID,
                        product ID and marketplace presented in ""%s"" (%d) Listing.","Un autre objet associé aux mêmes Pseudo eBay, code produit et place de marché est affiché dans l'annonce « %s » (%d)."
"Item was successfully listed","L'objet a été mis en vente"""
"There is another item with the same eBay user ID,
                    product ID and marketplace presented in ""%s"" (%d) Listing.","Un autre objet associé aux mêmes Pseudo eBay, code produit et place de marché est affiché dans l'annonce « %s » (%d)."""
"Multiple Item Connector has received empty array","Le connecteur d'objets multiples a reçu un tableau vide"
"Multiple Item Connector has received invalid product data type","Le connecteur d'objets multiples a reçu un type de données produits non valide"
"Multiple Item Connector has received products from different listings","Le connecteur d'objets multiples a reçu des produits de différentes annonces"
"Listing product was not found","Le produit de l'annonce est introuvable"
"The item either is listed, or not listed yet or not available","L'objet est mis en vente, n'est pas encore mis en vente ou n'est pas disponible"
"Item already was started on eBay","La vente de l'objet a déjà commencé sur eBay"
"Item was successfully relisted","L'objet a été remis en vente"
"This item cannot be accessed on eBay. M2E set Not Listed status.","L'objet n'est pas accessible sur eBay. Statut Non mis en vente défini par M2E."
"Item is not listed or not available","L'objet n'est pas mis en vente ou n'est pas disponible"
"Variation attributes were changed. Please stop and list product.","Les attributs des versions ont été modifiés. Veuillez arrêter la vente et mettre le produit en vente."
"Item was already stopped on eBay","La vente de l'objet a déjà été arrêtée sur eBay"
"Item was successfully revised","L'annonce a été modifiée"
"Item was successfully stopped","La vente de l'objet a été arrêtée"
"eBay Order status was not updated. Reason: %msg%","Le statut de la commande eBay n'a pas été modifié. Motif : %msg%"
"Status of India site orders cannot be updated if the buyer uses PaisaPay payment method.","Le statut des commandes du site eBay Inde ne peut pas être modifié si l'acheteur a utilisé PaisaPay comme mode de paiement."
"Invalid action.","Action non valide."
"Payment status for eBay order was not updated. Reason: eBay Failure.","Le statut du paiement de la commande eBay n'a pas été modifié. Motif : échec sur eBay."
"Payment status for eBay order was updated to Paid.","Le statut du paiement de la commande eBay a été remplacé par Payé."
"Shipping status for eBay order was not updated. Reason: eBay Failure.","Le statut de la livraison de la commande eBay n'a pas été modifié. Motif : échec sur eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay.","Le numéro de suivi « %num% » pour « %code% » a été envoyé à eBay."
"Shipping status for eBay order was updated to Shipped.","Le statut de la livraison de la commande eBay a été remplacé par Envoyé."
"Dispute cannot be opened. Reason: Dispute explanation is not defined.","Impossible d'ouvrir le litige. Motif : l'explication du litige n'est pas définie."
"Dispute cannot be opened. Reason: Dispute reason is not defined.","Impossible d'ouvrir le litige. Motif : le motif du litige n'est pas défini."
"Unpaid Item Process was not open for item #%id%. Reason: %msg%","Aucun litige pour objet non payé n'a été ouvert pour l'objet n° %id%. Motif : %msg%"
"Unpaid Item Process was not open for item #%id%. Reason: eBay failure. Please try again later.","Aucun litige pour objet non payé n'a été ouvert pour l'objet n° %id%. Motif : échec sur eBay. Veuillez réessayer ultérieurement."
"Unpaid Item Process for item #%id% has been initiated.","Un litige pour objet non payé a été ouvert pour l'objet n° %id%."
"Action was not completed (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","La tâche n'a pas été terminée (objet : %item_id%, transaction : %trn_id%). Motif : %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","Le statut de la livraison n'a pas été modifié (objet : %item_id%, transaction : %trn_id%). Motif : %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: eBay Failure.","Le statut de la livraison n'a pas été modifié (objet : %item_id%, transaction : %trn_id%). Motif : échec sur eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay (Item: %item_id%, Transaction: %trn_id%).","Le numéro de suivi « %num% » pour « %code% » a été envoyé à eBay (objet : %item_id%, transaction : %trn_id%)."
"Order item has been marked as shipped (Item: %item_id%, Transaction: %trn_id%).","L'objet de la commande a été marqué comme envoyé (objet : %item_id%, transaction : %trn_id%)."
"Other listings locked by other process.","D'autres annonces sont verrouillées par un autre processus."
"The item either is listed or not available","L'objet est mis en vente ou n'est pas disponible"
"The item either is not listed or not available","L'objet n'est pas mis en vente ou n'est pas disponible"
"qty","quantité"
"price","prix"
"title","titre"
"subtitle","sous-titre"
"description","description"
"was successfully revised","a été modifiée"
"Listing ID must be specified.","Le numéro de l'annonce doit être spécifié."
"%s: attribute(s) %s were not found in this product and its value was not sent.","%s : les attributs %s sont introuvables dans ce produit. La valeur n'a pas été envoyée."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: eBay site allows to list only simple items","Le produit a été mis en vente comme produit simple, car il dépasse les limites associées aux annonces multi-versions. '. 'Motif : seuls les objets simples sont autorisés pour le site eBay"
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: eBay primary category allows to list only simple items.","Le produit a été mis en vente comme produit simple, car il dépasse les limites associées aux annonces multi-versions. '. 'Motif : seuls les objets simples sont autorisés pour la catégorie principale eBay."
