"eBay Motors","eBay Motori"
"Store Primary","Negozio principale"
"Store Secondary","Negozio secondaria"
"Specifics","Specifiche"
"Edit eBay Primary Category","Modifica la categoria principale eBay"
"Title","Titolo"
"Primary","Principale"
"Secondary","Secondaria"
"Type","Tipo"
"eBay Site","Sito eBay"
"Account","Account"
"State","Stato"
"Active","In corso"
"Removed","Rimosse"
"Actions","Azioni"
"Magento Attribute","Attributo Magento"
"Any","Qualsiasi"
"eBay Sites","Siti eBay"
"Synchronization","Sincronizzazione"
"Policies","Regole"
"Categories In Use","Categorie in uso"
"Account Settings","Impostazioni dell'account"
"Global Settings","Impostazioni generali"
"Close","Chiudi"
"Send","Invio"
"Transaction ID","ID transazione"
"Item ID","Numero oggetto"
"Item Title","Titolo inserzione"
"Buyer Feedback Date","Data Feedback acquirente"
"Seller Feedback Date","Data Feedback venditore"
"Neutral","Neutro"
"Positive","Positivo"
"Negative","Negativo"
"Unresponded Feedback","Feedback senza risposta"
"Responded Feedback","Feedback con risposta"
"No ID For Auction","Nessun ID per asta online"
"N/A","N/A"
"Buyer","Acquirente"
"Seller","Venditore"
"Send Response","Invia risposta"
"Feedback for account ""%s""","Feedback per l'account ""%s"""
"Accounts","Account"
"Creating A New M2E Listing","Creazione di una nuova inserzione M2E"
"Show Video Tutorial","Mostra esercitazione video"
"Next Step","Fase successiva"
"Categories","Categorie"
"Edit Rule","Modifica regola"
"Delete Rule","Elimina regola"
"Total","Totale"
"details","dettagli"
"Continue","Continua"
"Add New Rule","Aggiungi nuova regola"
"Magento Category","Categoria Magento"
"eBay Categories","Categorie eBay"
"Primary eBay Category Selected","Categoria principale eBay selezionata"
"Primary eBay Category Not Selected","Categoria principale eBay non selezionata"
"Edit Primary Category","Modifica categoria principale"
"Edit Store Primary Category","Modifica categoria principale Negozio"
"Edit Categories"," Modifica categorie. "
"Edit Primary Categories","Modifica categorie principali"
"Edit Store Primary Categories","Modifica categorie principali Negozio"
"eBay Primary Category","Categoria principale eBay"
"eBay Secondary Category","Categoria secondaria eBay"
"eBay Store Primary Category","Categoria principale Negozio eBay"
"eBay Store Secondary Category","Categoria secondaria Negozio eBay"
"Not Selected","Non selezionato"
"Magento Attribute -> %s","Attributo Magento -> %s"
"Done","Fine"
"Cancel","Annulla"
"Set eBay Categories","Imposta categorie eBay"
"Set eBay Categories (Based On Magento Categories)","Imposta categorie eBay (in base alle categorie Magento)"
"Store Primary Category","Categoria principale Negozio"
"Store Secondary Category","Categoria secondaria Negozio"
"Category type is not set.","Il tipo di categoria non è impostato."
"Recently Used","Utilizzate di recente"
"Browse","Naviga"
"Search","Cerca"
"Set Your eBay Categories","Imposta le tue categorie eBay"
"Product ID","ID prodotto"
"Product Title","Titolo prodotto"
"Get Suggested Primary Category","Accetta categoria principale consigliata"
"Reset Categories","Reimposta categorie"
"Remove Item","Rimuovi oggetto"
"Get Suggested Primary Categories","Accetta categorie principali consigliate"
"Remove Item(s)","Rimuovi oggetti"
"Primary eBay Category","Categoria eBay principale"
"Secondary eBay Category","Categoria eBay secondaria"
"Primary eBay Store Category","Categoria Negozio eBay principale"
"Secondary eBay Store Category","Categoria Negozio eBay secondaria"
"You have not selected the Primary eBay Category for some products.","Non hai selezionato la categoria principale di eBay per alcuni prodotti."
"Are you sure?","Sei sicuro di voler continuare?"
"eBay could not assign categories for %s products.","eBay non può assegnare le categorie per %s prodotto/i."
"Suggested Categories were successfully received for %s product(s).","Le categorie consigliate sono state ricevute correttamente per %s prodotto/i."
"Set eBay Category","Imposta categoria eBay"
"Set eBay Category for Product(s)","Imposta categoria eBay per i prodotti"
"Set eBay Primary Category for Product(s)","Imposta categoria principale eBay per i prodotti"
"eBay Same Categories","Stesse categorie eBay"
"Yes","Sì"
"No","No"
"eBay Categories Specifics","Specifiche categorie eBay"
"Next Category","Categoria successiva"
"Loading. Please wait","Caricamento in corso. Attendi"
"Add Custom Specific","Aggiungi specifico personalizzato"
"Title / Info","Titolo/informazioni"
"Total Items","Totale oggetti"
"Active Items","nelle inserzioni in corso"
"Inactive Items","Oggetti inattivi"
"Sold QTY","Quantità venduta"
"Clear Log(s)","Cancella registro/i"
"Delete Listing(s)","Elimina inserzione/i"
"Admin (Default Values)","Amministrazione (valori predefiniti)"
"Magento Store View","Negozio Magento"
"Manage Products","Gestisci prodotti"
"Add Products from Products List","Aggiungi prodotti da Elenco prodotti"
"Add Products from Categories","Aggiungi prodotti da Categorie"
"Automatic Actions","Azioni automatiche"
"View Logs","Vedi registri"
"Delete Listing","Elimina inserzione"
"Edit Listing Title","Modifica titolo inserzione"
"Edit Listing Settings","Modifica impostazioni inserzione"
"&nbsp;- Payment And Shipping","&nbsp;- Pagamento e spedizione"
"&nbsp;- Selling","&nbsp;- Vendite"
"&nbsp;- Synchronization","&nbsp;- Sincronizzazione"
"Log For%s Listing","Registro per%s inserzione"
"Show General Log","Mostra registro generale"
"Listings were not found.","Impossibile trovare le inserzioni."
"eBay Item ID","ID oggetto eBay"
"Product Name","Nome prodotto"
"Action","Azione"
"Description","Descrizione"
"Run Mode","Modalità di esecuzione"
"Priority","Priorità"
"Log For%s 3rd Party Listing","Registro per%s inserzione di terze parti"
"Source","Fonte"
"Revise Rules","Modifica regole"
"Relist Rules","Regole per la rimessa in vendita"
"Stop Rules","Blocca regole"
"Edit%s 3rd Party Synchronization Settings","Modifica%s impostazioni sincronizzazione di terze parti"
"Product Title / SKU","Titolo/codice prodotto"
"eBay Available QTY","Q.tà disponibile su eBay"
"eBay Sold QTY","Q.tà vendute su eBay"
"eBay Price","Prezzo eBay"
"Status","Stato"
"Listed","In vendita"
"Listed (Hidden)","Messo in vendita (nascosto)"
"Sold","Venduti"
"Stopped","Bloccati"
"Finished","Fine"
"Pending","In sospeso"
"Start Date","Data inizio"
"End Date","Data di scadenza"
"Unmap","Annulla associazione"
"View Log","Vedi registro"
"Clear Log","Cancella registro"
"Revise Item(s)","Modifica oggetto/i"
"Relist Item(s)","Rimetti in vendita oggetto/i"
"Stop Item(s)","Blocca oggetto/i"
"Map Item(s) Automatically","Associa oggetto/i automaticamente"
"Move Item(s) to Listing","Sposta oggetto/i su inserzione"
"Map","Mappa"
"Move","Sposta"
"SKU","Codice prodotto"
"Revise","Modifica"
"Relist","Rimetti in vendita"
"Stop","Stop"
"Status Change","Modifica dello stato"
"Manual","Manuale"
"Automatic","Automatica"
"Mapping Product","Associazione prodotto"
"Product does not exist.","Il prodotto non esiste."
"Please enter correct product ID.","Immetti l'ID prodotto corretto."
"Product(s) was successfully mapped.","Prodotto/i associato/i correttamente."
"Please enter correct product ID or SKU","Immetti l'ID prodotto o il codice prodotto corretto"
"Moving eBay Items.","Spostamento oggetti eBay in corso."
"Products failed to move","Impossibile spostare i prodotti"
"Product(s) was successfully moved.","Prodotto/i spostato/i correttamente."
"Products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","I prodotti non sono stati spostati. <a target=""_blank"" href=""%s"">Vedi il registro</a> per ulteriori informazioni."
"Some of the products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Alcuni prodotti non sono stati spostati. <a target=""_blank"" href=""%s"">Vedi il registro</a> per ulteriori informazioni."
"Product was successfully mapped.","Prodotto associato correttamente."
"Current eBay version only supports simple products in mapping. Please, choose simple product.","La versione eBay corrente supporta solo prodotti semplici nell'associazione. Scegli un prodotto semplice."
"Processing %s product(s).","Elaborazione %s prodotti."
"Task completed. Please wait ...","Attività completata. Attendi..."
"""%s"" task has successfully completed.","L'attività ""%s"" è stata completata correttamente."
"""%s"" task has completed with warnings. <a target=""_blank"" href=""%s"">View log</a> for details.","L'attività ""%s"" è stata completata con avvisi. <a target=""_blank"" href=""%s"">Vedi il registro</a> per ulteriori informazioni."
"""%s"" task has completed with errors. <a target=""_blank"" href=""%s"">View log</a> for details.","L'attività ""%s"" è stata completata con errori. <a target=""_blank"" href=""%s"">Vedi il registro</a> per ulteriori informazioni."
"Sending %s product(s) data on eBay.","Invio dati di %s su eBay in corso."
"View All Product Log.","Vedi il registro di tutti i prodotti."
"The listing was locked by another process. Please try again later.","L'inserzione è stata bloccata da un altro processo. Riprova più tardi."
"Listing is empty.","Inserzione vuota."
"Listing All Items On eBay","Messa in vendita di tutti gli oggetti su eBay in corso"
"Listing Selected Items On eBay","Messa in vendita degli oggetti selezionati su eBay in corso"
"Revising Selected Items On eBay","Revisione degli oggetti selezionati su eBay in corso"
"Relisting Selected Items On eBay","Rimessa in vendita degli oggetti selezionati su eBay in corso"
"Stopping Selected Items On eBay","Blocco degli oggetti selezionati su eBay in corso"
"Stopping On eBay And Removing From Listing Selected Items","Blocco su eBay e rimozione dalla messa in vendita degli oggetti selezionati in corso"
"Map Item(s) to Products","Associa oggetto/i ai prodotti"
"Only mapped products must be selected.","Solo i prodotti associati possono essere selezionati."
"Selected items must belong to the same Account and Marketplace.","Gli oggetti selezionati devono appartenere allo stesso account e mercato."
"Please select items.","Seleziona gli oggetti."
"Please select action.","Seleziona l'azione."
"Stock Availability","Disponibilità in magazzino"
"In Stock","In magazzino"
"Out of Stock","Esaurito"
"Price","Prezzo"
"Qty","Q.tà"
"Based on Magento Categories","In base alle categorie Magento"
"You must select at least 1 category.","Devi selezionare almeno 1 categoria."
"Rule with the same title already exists.","Esiste già una regola con lo stesso titolo."
"Listing Settings Customization","Personalizzazione impostazioni inserzione"
"eBay/Magento Integration: Products Management","Integrazione eBay/Magento: gestione dei prodotti"
"Congratulations","Complimenti"
"Review Your Items","Controlla i tuoi oggetti"
"List Your Items Now","Metti in vendita ora i tuoi oggetti"
"Remove","Rimuovi"
"of","di"
"Visibility","Visibilità"
"Websites","Siti Web "
"Select Products","Seleziona prodotti"
"Start Configure","Avvia configurazione"
"<b>
    Do you want to set up a rule by which products will be automatically added or deleted from the current M2E listing?
</b>.
<br/><br/>
Click Start Configure to create a rule<br/> or Cancel if you do not want to do it now.
<br/><br/>
<b>Note:</b> You can always return to it by clicking Automatic Action button on this page.","<b> Desideri impostare una regola per aggiungere o eliminare automaticamente i prodotti dall'inserzione M2E corrente? </b>.<br/><br/>Per creare una regola, clicca su Avvia configurazione<br/> o su Annulla se preferisci ignorare questo passaggio.<br/><br/><b>Nota:</b> puoi sempre impostare una regola cliccando sul pulsante Azione automatica in questa pagina."
"Yes, I Want","Sì, crea una regola"
"No, Skip It","No, ignora questo passaggio"
"Do you want to customise M2E Listing settings for the necessary products?","Desideri personalizzare le impostazioni dell'inserzione M2E per i prodotti richiesti?"
"It is possible to override default settings you set on the previous steps and set different
        settings for the group of products.","È possibile ignorare le impostazioni predefinite configurate nei precedenti passaggi e definire nuove impostazioni per il gruppo di prodotti."
"Remember my choice","Ricorda la mia scelta"
"Product Title / Listing / SKU","Titolo/inserzione/codice prodotto"
"Listing Type","Tipo di inserzione"
"M2E Pro","M2E Pro"
"3rd Party","Terze parti"
"""Buy It Now"" Price","Prezzo ""Compralo Subito"""
"Unknown","Sconosciuto"
"Not Listed","Non messo in vendita"
"Manage","Gestisci"
"Listing","Inserzione"
"receiving","ricezione"
"none","nessuna"
"Go to listing","Vai all'inserzione"
"Payment and Shipping Settings","Impostazioni pagamento spedizione"
"Payment","Pagamento"
"Use from Listing Settings","Recupera da impostazioni inserzione"
"Custom Settings","Impostazioni personalizzate"
"M2E Pro Policy","Regole di M2E Pro"
"eBay Policy","Regole di eBay"
"Shipping","Spedizione"
"Return","Restituzione"
"Selling Settings","Impostazioni vendite"
"Price, Quantity and Format","Prezzo, quantità e formato"
"Edit Settings","Modifica impostazioni "
"Edit Payment and Shipping Settings","Modifica impostazioni pagamento spedizione"
"Edit Selling Settings","Modifica impostazioni vendite"
"Edit Synchronization Settings","Modifica impostazioni di sincronizzazione"
"M2E Pro -> ","M2E Pro -> "
"eBay -> ","eBay -> "
"for","per"
"Set Products Settings","Configura impostazioni prodotti"
"Add Products","Aggiungi prodotti"
"Payment and Shipping","Pagamento e spedizione"
"Selling","In vendita"
"Edit Listing Settings ""%s""","Modifica impostazioni inserzioni ""%s"""
"Previous Step","Passaggio precedente"
"Data source is invalid.","L'origine dati non è valida."
"Session key is not defined.","Il codice della sessione non è definito."
"Save as New Policy","Salva come nuova regola"
"Template nick is not defined.","Lo pseudonimo del modello non è definito."
"Template mode is not initialized.","La modalità del modello non è inizializzata."
"Product Title / SKU / eBay Category","Titolo/codice prodotto/categoria eBay"
"Available QTY","Quantità disponibile"
"Adviser","Consulente"
"List Item(s) on eBay","Metti in vendita oggetti su eBay"
"Revise Item(s) on eBay","Modifica oggetti su eBay"
"Relist Item(s) on eBay","Rimetti in vendita oggetti su eBay"
"Stop Item(s) on eBay","Interrompi oggetti su eBay"
"Stop on eBay / Remove From Listing","Interrompi su eBay/Rimuovi dall'inserzione"
"Move Item(s) to Another Listing","Sposta oggetto/i su un'altra inserzione"
"Edit eBay Categories Settings","Modifica impostazioni categorie eBay"
"eBay Fee","Stima tariffe"
"estimate","eBay"
"List","Elenco"
"Stop on Channel / Remove from Listing","Blocca sul canale/Rimuovi dall'inserzione"
"Success","Riuscito"
"Notice","Avviso"
"Warning","Attenzione"
"Error","Errore"
"Product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Prodotto/i non spostato/i. <a target=""_blank"" href=""%s"">Vedi il registro</a> per ulteriori informazioni."
"Some product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Alcuni prodotti non sono stati spostati. <a target=""_blank"" href=""%s"">Vedi il registro</a> per ulteriori informazioni."
"Estimated Fee Details","Informazioni sulle tariffe stimate"
"Please check eBay Motors compatibility attribute.
            You can find it in %s > Configuration > <a target=""_blank"" href=""%s"">General</a>.","Verifica l'attributo compatibilità con eBay Motori. L'attributo è disponibile in %s > Configurazione > <a target=""_blank"" href=""%s"">Generale</a>."
"Fees are not set.","Le tariffe non sono impostate."
"Errors are not set.","Gli errori non sono impostati."
"eBay","eBay"
"Settings","Impostazioni"
"Magento","Magento"
"View Mode","Modalità vista"
"View mode is not set.","La modalità della vista non è impostata."
"eBay Primary Category Assigned","Categoria principale eBay assegnata"
"Compatibility","Compatibilità"
"Filled","Compilato"
"Empty","Vuoto"
"Edit eBay Primary Categories Settings","Modifica impostazioni categorie principali eBay"
"Edit eBay Store Primary Categories Settings","Modifica impostazioni categorie principali Negozio eBay"
"Add Compatible Vehicles","Aggiungi veicoli compatibili"
"Not Set","Non impostato"
"Show","Mostra"
"Product","Attributo"
"Attribute","prodotto"
"ePIDs","ePID"
"Compatibility Attribute ePIDs","Attributo compatibilità ePID"
"View Listing","Vedi inserzione"
"Change Listing","Modifica inserzione"
"Compatibility Attribute","Attributo compatibilità"
"From Products List","Da elenco di prodotti"
"From Categories","Da categorie"
"Add Listing","Aggiungi inserzione"
"Listings","Inserzioni"
"Update Now","Aggiorna ora"
"Save And Update","Salva e aggiorna"
"ePID","ePID"
"Car / Truck","Auto / Autocarro"
"Motorcycle","Moto"
"Make","Marca"
"Model","Modello"
"Submodel","Modello secondario"
"Year","Anno"
"Trim","Ritaglia"
"Engine","Motore"
"Overwrite ePIDs in Compatibility Attribute","Sovrascrivi ePID in attributo compatibilità"
"Add ePIDs to Compatibility Attribute","Aggiungi ePID ad attributo compatibilità"
"Edit Shipping Address","Modifica l'indirizzo per la spedizione"
"Save Order Address","Salva l'indirizzo dell'ordine "
"Sale Date","Data vendita"
"Magento Order #","Numero ordine Magento"
"eBay Order #","N. ordine eBay"
"Items","Oggetti"
"Total Paid","Totale pagato"
"Reservation","Prenotazione"
"Not Reserved","Non prenotata"
"Reserved","Prenotata"
"Released","Sbloccata"
"Canceled","Annullato"
"Checkout","Modulo di pagamento"
"Paid","Pagato"
"Shipped","Spedito"
"View","Vista"
"Create Order","Crea ordine"
"Mark As Paid","Segnala come pagato"
"Mark As Shipped","Segnala come spedito"
"Reserve QTY","Prenota quantità"
"Cancel QTY Reserve","Annulla prenotazione quantità"
"Mark Order(s) as Shipped","Segnala ordini come spediti"
"Mark Order(s) as Paid","Segnala ordini come pagati"
"Resend Shipping Information","Invia di nuovo le Informazioni sulla spedizione"
"Deleted","Eliminata"
"edit","modifica"
"Options","Opzioni"
"QTY","Q.TÀ"
"Transaction","Transazione"
"Item","Oggetto"
"Transaction #","Numero transazione"
"Fee","Tariffa"
"Amount","Importo"
"Date","Data"
"Incl. Tax","Incl. Imposte"
"Excl. Tax","Escl. Imposte"
"Original Price","Prezzo originale"
"Tax Percent","Percentuale imposte"
"Row Total","Totale"
"View on eBay","Vedi su eBay"
"Map to Magento Product","Associa al prodotto Magento"
"Set Options","Imposta opzioni"
"View Order Details","Vedi i dettagli dell'ordine"
"Mark as Shipped","Segnala come spedito"
"Mark as Paid","Segnala come pagato"
"Are you sure that you want to create new Magento Order?","Vuoi creare un nuovo ordine Magento?"
"Confirm","Conferma"
"Run Now","Esegui ora"
"Run Enabled Now","Esegui elementi abilitati"
"Save Settings","Salva"
"Subtitle","Sottotitolo"
"Condition","Condizioni"
"Condition Description","Descrizione delle condizioni"
"Buy It Now Price","Prezzo Compralo Subito"
"Start Price","Prezzo di partenza"
"Reserve Price","Prezzo di riserva"
"Listing Duration","Durata dell'inserzione"
"Dispatch Time","Tempo di spedizione"
"Primary Category Id","ID categoria principale"
"Secondary Category Id","ID categoria secondaria"
"Store Primary Category Id","ID categoria principale Negozio"
"Store Secondary Category Id","ID categoria secondaria Negozio"
"Primary Category Name","Nome categoria principale"
"Secondary Category Name","Nome categoria secondaria"
"Store Primary Category Name","Nome categoria principale Negozio"
"Store Secondary Category Name","Nome categoria secondaria Negozio"
"Domestic Shipping First Method","Primo metodo per spedizione nazionale"
"Domestic Shipping First Cost","Primo costo per spedizione nazionale"
"Domestic Shipping First Additional Cost","Primo costo aggiuntivo per spedizione nazionale"
"International Shipping First Method","Primo metodo per spedizione internazionale"
"International Shipping First Cost","Primo costo per spedizione internazionale"
"International Shipping First Additional Cost","Primo costo aggiuntivo per spedizione internazionale"
"Insert","Inserisci"
"Show / Hide Editor","Mostra/nascondi editor"
"Preview","Anteprima"
"View Random Product","Vedi prodotto casuale"
"Edit ""%s"" %s Policy","Modifica regola ""%s"" %s"
"Add %s Policy","Aggiungi regola %s"
"Duplicate","Duplica"
"<br/>
<b>Note:</b> All changes you have made will be automatically applied to all M2E listings where this policy is used.","<br/><b>Nota:</b> tutte le modifiche apportate verranno applicate automaticamente alle inserzioni M2E per le quali è stata prevista questa regola."
"Template nick is not set.","Lo pseudonimo del modello non è impostato."
"Marketplace is required for editing payment template.","Il mercato è necessario per modificare il modello di pagamento."
"Marketplace is required for editing return template.","Il mercato è necessario per modificare il modello di restituzione."
"Please find more about currency rate set up in'
                . ' <a href=""%s"" target=""_blank"">magento documentation</a>.","Ulteriori informazioni sul tasso di cambio impostato nella <a href=""%s"" target=""_blank"">documentazione Magento</a>."
"Name","Nome"
"Select","Seleziona"
"Reset","Azzera"
"Marketplace is required for editing shipping template.","Il mercato è necessario per modificare il modello di spedizione."
"Add Policy","Aggiungi regola"
"eBay DateTime object is null","Oggetto DateTime eBay nullo"
"Wrong action type","Tipo di azione errato"
"Listing ""%listingId%"" locked by other process.","Inserzione ""%listingId%"" bloccata da un altro processo."
"Relisting","Rimessa in vendita"
"Revising","Revisione"
"Stopping","Blocco"
"Item is listed or not available","Oggetto in vendita o non disponibile"
"Categories settings are not set","Le impostazioni delle categorie non sono impostate"
"There is another item with the same eBay user ID,
                        product ID and marketplace presented in ""%s"" (%d) Listing.","Esiste un altro oggetto con lo stesso ID utente eBay, ID prodotto e mercato nell'inserzione ""%s"" (%d)."
"Item was successfully listed","Oggetto messo in vendita correttamente"
"There is another item with the same eBay user ID,
                    product ID and marketplace presented in ""%s"" (%d) Listing.","Esiste un altro oggetto con lo stesso ID utente eBay, ID prodotto e mercato nell'inserzione ""%s"" (%d)."
"Multiple Item Connector has received empty array","Il connettore di più oggetti ha ricevuto una matrice vuota"
"Multiple Item Connector has received invalid product data type","Il connettore di più oggetti ha ricevuto un tipo di dati di prodotto non valido"
"Multiple Item Connector has received products from different listings","Il connettore di più oggetti ha ricevuto prodotti da inserzioni diverse"
"Listing product was not found","Impossibile trovare il prodotto dell'inserzione"
"The item either is listed, or not listed yet or not available","L'oggetto è messo in vendita, non ancora messo in vendita o non disponibile"
"Item already was started on eBay","Oggetto già iniziato su eBay"
"Item was successfully relisted","Oggetto rimesso in vendita correttamente"
"This item cannot be accessed on eBay. M2E set Not Listed status.","Non è possibile accedere a questo oggetto su eBay. Stato M2E impostato su Non messo in vendita."
"Item is not listed or not available","Oggetto non in vendita o non disponibile"
"Variation attributes were changed. Please stop and list product.","Gli attributi variante sono stati modificati. Blocca e metti in vendita il prodotto."
"Item was already stopped on eBay","Oggetto già bloccato su eBay"
"Item was successfully revised","Oggetto revisionato correttamente"
"Item was successfully stopped","Oggetto bloccato correttamente"
"eBay Order status was not updated. Reason: %msg%","Stato dell'ordine eBay non aggiornato. Motivo: %msg%"
"Status of India site orders cannot be updated if the buyer uses PaisaPay payment method.","Impossibile aggiornare lo stato degli ordini del sito India se l'acquirente usa PaisaPay come metodo di pagamento."
"Invalid action.","Azione non valida."
"Payment status for eBay order was not updated. Reason: eBay Failure.","Stato del pagamento per l'ordine eBay non aggiornato. Motivo: errore eBay."
"Payment status for eBay order was updated to Paid.","Stato del pagamento per l'ordine eBay aggiornato in Pagato."
"Shipping status for eBay order was not updated. Reason: eBay Failure.","Stato della spedizione per l'ordine eBay non aggiornato. Motivo: errore eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay.","Il codice della spedizione ""%num%"" per ""%code%"" è stato inviato a eBay."
"Shipping status for eBay order was updated to Shipped.","Stato della spedizione per l'ordine eBay aggiornato in Spedito."
"Dispute cannot be opened. Reason: Dispute explanation is not defined.","Impossibile aprire la controversia. Motivo: spiegazione della disputa non definita."
"Dispute cannot be opened. Reason: Dispute reason is not defined.","Impossibile aprire la controversia. Motivo: motivo della disputa non definito."
"Unpaid Item Process was not open for item #%id%. Reason: %msg%","Procedura per il mancato pagamento di un oggetto non aperta per l'oggetto #%id%. Motivo: %msg%"
"Unpaid Item Process was not open for item #%id%. Reason: eBay failure. Please try again later.","Procedura per il mancato pagamento di un oggetto non aperta per l'oggetto #%id%. Motivo: errore eBay. Riprova più tardi."
"Unpaid Item Process for item #%id% has been initiated.","Procedura per il mancato pagamento per l'oggetto #%id% avviata."
"Action was not completed (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","Azione non completata (oggetto: %item_id%, transazione: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","Stato della spedizione non aggiornato (oggetto: %item_id%, transazione: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: eBay Failure.","Stato della spedizione non aggiornato (oggetto: %item_id%, transazione: %trn_id%). Motivo: errore eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay (Item: %item_id%, Transaction: %trn_id%).","Il codice della spedizione ""%num%"" per ""%code%"" è stato inviato a eBay (oggetto: %item_id%, transazione: %trn_id%)."
"Order item has been marked as shipped (Item: %item_id%, Transaction: %trn_id%).","L'oggetto dell'ordine è stato contrassegnato come spedito (oggetto: %item_id%, transazione: %trn_id%)."
"Other listings locked by other process.","Altre inserzioni bloccate da un altro processo."
"The item either is listed or not available","Oggetto in vendita o non disponibile"
"The item either is not listed or not available","Oggetto non in vendita o non disponibile"
"qty","q.tà"
"price","prezzo"
"title","titolo"
"subtitle","sottotitolo"
"description","descrizione"
"was successfully revised","revisionato correttamente"
"Listing ID must be specified.","Devi specificare l'ID inserzione."
"%s: attribute(s) %s were not found in this product and its value was not sent.","%s: impossibile trovare gli attributi %s in questo prodotto; il relativo valore non è stato inviato."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: eBay site allows to list only simple items","Il prodotto è stato messo in vendita come prodotto semplice in quanto presenta una limitazione per le inserzioni con varianti. '. ""Motivo: il sito eBay consente di mettere in vendita solo oggetti semplici"""
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: eBay primary category allows to list only simple items.","Il prodotto è stato messo in vendita come prodotto semplice in quanto presenta una limitazione per le inserzioni con varianti. '. ""Motivo: la categoria principale eBay consente di mettere in vendita solo oggetti semplici""."
