"eBay Motors","eBay Motor"
"Send Response","Enviar respuesta"
"Feedback for account ""%s""","Votos de la cuenta ""%s"""
"Accounts","Mi cuenta"
"Creating A New M2E Listing","Creación de un nuevo anuncio de M2E"
"Show Video Tutorial","Mostrar tutorial en vídeo"
"Next Step","Siguiente paso"
"Categories","Categorías"
"Edit Rule","Modificar regla"
"Delete Rule","Eliminar regla"
"Total","Total"
"details","detalles"
"Continue","Continuar"
"Add New Rule","Añadir nueva regla"
"Magento Category","Categoría de Magento"
"eBay Categories","Categorías de eBay"
"Primary eBay Category Selected","Categoría principal de eBay seleccionada"
"Primary eBay Category Not Selected","Categoría principal de eBay no seleccionada"
"Edit Primary Category","Modificar categoría principal"
"Edit Store Primary Category","Modificar categoría principal de la tienda"
"Edit Categories","Modificar categorías"
"Edit Primary Categories","Modificar categorías principales"
"Edit Store Primary Categories","Modificar categorías principales de la tienda"
"eBay Primary Category","Categoría principal de eBay"
"eBay Secondary Category","Categoría secundaria de eBay"
"eBay Store Primary Category","Categoría principal de la tienda eBay"
"eBay Store Secondary Category","Categoría secundaria de la tienda eBay"
"Not Selected","No está seleccionada"
"Magento Attribute -> %s","Atributo de Magento -> %s"
"Done","Hecho"
"Cancel","Cancelar"
"Set eBay Categories","Establecer categorías de eBay"
"Set eBay Categories (Based On Magento Categories)","Establecer categorías de eBay (según las categorías de Magento)"
"Store Primary Category","Categoría principal de la tienda"
"Store Secondary Category","Categoría secundaria de la tienda"
"Category type is not set.","El tipo de categoría no se ha establecido."
"Recently Used","Usadas recientemente"
"Browse","Examinar"
"Search","Buscar"
"Set Your eBay Categories","Establecer las categorías de eBay"
"Product ID","Identificador de producto"
"Product Title","Título del producto"
"Get Suggested Primary Category","Obtener categoría principal sugerida"
"Reset Categories","Restablecer categorías"
"Remove Item","Eliminar artículo"
"Get Suggested Primary Categories","Obtener categorías principales sugeridas"
"Remove Item(s)","Eliminar artículos"
"Primary eBay Category","Categoría principal de eBay"
"Secondary eBay Category","Categoría secundaria de eBay"
"Primary eBay Store Category","Categoría principal de la tienda eBay"
"Secondary eBay Store Category","Categoría secundaria de la tienda eBay"
"You have not selected the Primary eBay Category for some products.","No has seleccionado una categoría principal de eBay para algunos productos."
"Are you sure?","¿Estás seguro?"
"eBay could not assign categories for %s products.","eBay no pudo asignar categorías a %s productos."
"Suggested Categories were successfully received for %s product(s).","Las categorías sugeridas se recibieron correctamente para %s productos."
"Set eBay Category","Establecer categoría de eBay"
"Set eBay Category for Product(s)","Establecer categoría de eBay para los productos"
"Set eBay Primary Category for Product(s)","Establecer categoría principal de eBay para los productos"
"eBay Same Categories","Mismas categorías de eBay"
"Yes","Sí"
"No","No"
"eBay Categories Specifics","Características de las categorías de eBay"
"Next Category","Siguiente categoría"
"Loading. Please wait","Cargando. Por favor, espera"
"Add Custom Specific","Añadir característica personalizada"
"Title / Info","Título/Información"
"Total Items","Total de artículos"
"Active Items","Artículos en venta"
"Inactive Items","Artículos inactivos"
"Sold QTY","Cantidad vendida"
"Clear Log(s)","Borrar registros"
"Delete Listing(s)","Eliminar anuncios"
"Admin (Default Values)","Administrador (valores predeterminados)"
"Magento Store View","Vista de tienda de Magento"
"Manage Products","Gestionar productos"
"Add Products from Products List","Añadir productos de la lista de productos"
"Add Products from Categories","Añadir productos de las categorías"
"Automatic Actions","Acciones automáticas"
"View Logs","Ver registros"
"Delete Listing","Eliminar anuncio"
"Edit Listing Title","Modificar título del anuncio"
"Edit Listing Settings","Modificar configuración del anuncio"
"&nbsp;- Payment And Shipping","&nbsp;- Pago y envío"
"&nbsp;- Selling","&nbsp;- Ventas"
"&nbsp;- Synchronization","&nbsp;- Sincronización"
"Log For%s Listing","Registro del anuncio de %s"
"Show General Log","Mostrar registro general"
"Listings were not found.","No se encontraron anuncios."
"eBay Item ID","Número de artículo de eBay"
"Product Name","Nombre del producto"
"Action","Acción"
"Description","Descripción "
"Run Mode","Modo de ejecución"
"Priority","Prioridad"
"Log For%s 3rd Party Listing","Registro del anuncio externo de %s"
"Source","Origen"
"Revise Rules","Reglas de revisión"
"Relist Rules","Reglas para volver a poner en venta"
"Stop Rules","Reglas de detención"
"Edit%s 3rd Party Synchronization Settings","Modificar%s configuración de la sincronización de terceros"
"Product Title / SKU","Título de producto/Número de referencia"
"eBay Available QTY","Cantidad disponible en eBay"
"eBay Sold QTY","Cantidad vendida en eBay"
"eBay Price","Precio de eBay"
"Status","Estado"
"Listed","Puestos en venta"
"Listed (Hidden)","Puestos en venta (ocultos)"
"Sold","Vendido:"
"Stopped","Detenido"
"Finished","Finalizado"
"Pending","Pendiente"
"Start Date","Fecha de inicio"
"End Date","Fecha de finalización"
"Unmap","Quitar asignación"
"View Log","Ver registro"
"Clear Log","Borrar registro"
"Revise Item(s)","Revisar los artículos"
"Relist Item(s)","Volver a poner en venta los artículos"
"Stop Item(s)","Detener artículos"
"Map Item(s) Automatically","Asignar artículos automáticamente"
"Move Item(s) to Listing","Mover artículos al anuncio"
"Map","Asignar"
"Move","Mover"
"SKU","Nº de referencia"
"Revise","Modificar"
"Relist","Volver a poner en venta"
"Stop","Detener"
"Status Change","Cambio de estado"
"Manual","Manual"
"Automatic","Automática"
"Mapping Product","Asignación de producto"
"Product does not exist.","El producto no existe."
"Please enter correct product ID.","Introduce el identificador de producto correcto."
"Product(s) was successfully mapped.","Los productos se han asignado correctamente."
"Please enter correct product ID or SKU","Introduce el identificador o número de referencia de producto correcto"
"Moving eBay Items.","Moviendo los artículos de eBay."
"Products failed to move","No se han podido mover los artículos"
"Product(s) was successfully moved.","Los productos se han movido correctamente."
"Products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Los productos no se han movido. <a target=""_blank"" href=""%s"">Ver registro</a> para obtener detalles."
"Some of the products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Algunos de los productos no se han movido. <a target=""_blank"" href=""%s"">Ver registro</a> para obtener detalles."
"Product was successfully mapped.","El producto se ha asignado correctamente."
"Current eBay version only supports simple products in mapping. Please, choose simple product.","La versión actual de eBay solo permite la asignación de productos simples. Elige un producto simple."
"Processing %s product(s).","Procesando %s producto(s)."
"Task completed. Please wait ...","Tarea finalizada. Por favor, espera..."
"""%s"" task has successfully completed.","La tarea ""%s"" se ha completado correctamente."
"""%s"" task has completed with warnings. <a target=""_blank"" href=""%s"">View log</a> for details.","La tarea ""%s"" se ha completado con advertencias. <a target=""_blank"" href=""%s"">Ver registro</a> para obtener detalles."
"""%s"" task has completed with errors. <a target=""_blank"" href=""%s"">View log</a> for details.","La tarea ""%s"" se ha completado con errores. <a target=""_blank"" href=""%s"">Ver registro</a> para obtener detalles."
"Sending %s product(s) data on eBay.","Enviando datos de %s producto(s) de eBay."
"View All Product Log.","Ver todo el registro de productos."
"The listing was locked by another process. Please try again later.","Otro proceso ha bloqueado el anuncio. Inténtalo de nuevo más tarde."
"Listing is empty.","El anuncio está vacío."
"Listing All Items On eBay","Poniendo en venta todos los artículos en eBay"
"Listing Selected Items On eBay","Poniendo en venta los artículos seleccionados en eBay"
"Revising Selected Items On eBay","Revisando los artículos seleccionados en eBay"
"Relisting Selected Items On eBay","Volviendo a poner en venta los artículos seleccionados en eBay"
"Stopping Selected Items On eBay","Deteniendo los artículos seleccionados en eBay"
"Stopping On eBay And Removing From Listing Selected Items","Deteniendo en eBay y retirando del anuncio los artículos seleccionados"
"Map Item(s) to Products","Asignar productos a artículos"
"Only mapped products must be selected.","Solo se deben seleccionar productos asignados."
"Selected items must belong to the same Account and Marketplace.","Los artículos seleccionados deben pertenecer a la misma cuenta y mercado."
"Please select items.","Selecciona los artículos."
"Please select action.","Selecciona una acción."
"Stock Availability","Disponibilidad de existencias"
"In Stock","Disponible"
"Out of Stock","Sin existencias"
"Price","Precio"
"Qty","Cantidad"
"Based on Magento Categories","Según las categorías de Magento"
"You must select at least 1 category.","Debes seleccionar al menos 1 categoría."
"Rule with the same title already exists.","Ya existe una regla con el mismo título."
"Listing Settings Customization","Personalización de la configuración de anuncio"
"eBay/Magento Integration: Products Management","Integración de eBay/Magento: Gestión de productos"
"Congratulations","Enhorabuena"
"Review Your Items","Revisar los artículos"
"List Your Items Now","Poner los artículos en venta ahora"
"Remove","Eliminar"
"of","de"
"Visibility","Visibilidad"
"Websites","Sitios Web "
"Select Products","Seleccionar productos"
"Start Configure","Iniciar configuración"
"<b>
    Do you want to set up a rule by which products will be automatically added or deleted from the current M2E listing?
</b>.
<br/><br/>
Click Start Configure to create a rule<br/> or Cancel if you do not want to do it now.
<br/><br/>
<b>Note:</b> You can always return to it by clicking Automatic Action button on this page.","<b> ¿Quieres configurar una regla para añadir o eliminar productos automáticamente desde el anuncio de M2E actual? </b>.<br/><br/>Pulsa Iniciar configuración para crear una regla<br/> o Cancelar si no quieres realizar esta acción ahora.<br/><br/><b>Nota:</b> puedes volver en cualquier momento, pulsando el botón Acción automática en esta página."
"Yes, I Want","Sí, quiero"
"No, Skip It","No, omitir"
"Do you want to customise M2E Listing settings for the necessary products?","¿Quieres personalizar la configuración de anuncio de M2E para los productos necesarios?"
"It is possible to override default settings you set on the previous steps and set different
        settings for the group of products.","Puedes anular la configuración predeterminada establecida en los pasos anteriores y establecer otros valores para el grupo de productos."
"Remember my choice","Recordar mi selección"
"Product Title / Listing / SKU","Título de producto/Anuncio/Número de referencia"
"Listing Type","Tipo de anuncio"
"M2E Pro","M2E Pro"
"3rd Party","Externo"
"""Buy It Now"" Price","Precio ""¡Cómpralo ya!"""
"Unknown","Desconocido"
"Not Listed","Sin poner en venta"
"Manage","Gestionar"
"Listing","Anuncio"
"receiving","recepción"
"none","ninguna"
"Go to listing","Ir al anuncio"
"Payment and Shipping Settings","Configuración de Pago y envío"
"Payment","Pago"
"Use from Listing Settings","Usar la configuración de Configuración de anuncio"
"Custom Settings","Configuración personalizada"
"M2E Pro Policy","Política de M2E Pro"
"eBay Policy","Política de eBay"
"Shipping","Envío"
"Return","Devolución"
"Selling Settings","Configuración de venta"
"Price, Quantity and Format","Precio, cantidad y formato"
"Edit Settings","Modificar configuración"
"Edit Payment and Shipping Settings","Modificar configuración de Pago y envío"
"Edit Selling Settings","Modificar configuración de venta"
"Edit Synchronization Settings","Modificar configuración de sincronización"
"M2E Pro -> ","M2E Pro -> "
"eBay -> ","eBay -> "
"for","para"
"Set Products Settings","Establecer configuración de los productos"
"Add Products","Añadir productos"
"Payment and Shipping","Pago y envío"
"Selling","Vendiendo: "
"Edit Listing Settings ""%s""","Modificar configuración del anuncio ""%s"""
"Previous Step","Paso anterior"
"Data source is invalid.","La fuente de datos no es válida."
"Session key is not defined.","No se ha definido la clave de la sesión."
"Save as New Policy","Guardar como nueva política"
"Template nick is not defined.","No se ha establecido el apodo de la plantilla."
"Template mode is not initialized.","No se ha inicializado el modo de plantilla."
"Product Title / SKU / eBay Category","Título de producto/Número de referencia/Categoría de eBay"
"Available QTY","Cantidad disponible"
"Adviser","Asesor"
"List Item(s) on eBay","Poner artículos en venta en eBay"
"Revise Item(s) on eBay","Revisar artículos en eBay"
"Relist Item(s) on eBay","Volver a poner artículos en venta en eBay"
"Stop Item(s) on eBay","Detener artículos en eBay"
"Stop on eBay / Remove From Listing","Detener en eBay/Eliminar del anuncio"
"Move Item(s) to Another Listing","Mover los artículos a otro anuncio"
"Edit eBay Categories Settings","Modificar la configuración de las categorías de eBay"
"eBay Fee","Tarifa de eBay"
"estimate","calcular"
"List","Poner un artículo en venta"
"Stop on Channel / Remove from Listing","Detener en el canal / Eliminar del anuncio"
"Success","Finalizado"
"Notice","Aviso"
"Warning","Advertencia"
"Error","Error"
"Product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Los productos no se han movido. <a target=""_blank"" href=""%s"">Ver registro</a> para obtener detalles."
"Some product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Algunos productos no se han movido. <a target=""_blank"" href=""%s"">Ver registro</a> para obtener detalles."
"Estimated Fee Details","Detalles de la tarifa calculada"
"Please check eBay Motors compatibility attribute.
            You can find it in %s > Configuration > <a target=""_blank"" href=""%s"">General</a>.","Comprueba el atributo de compatibilidad de eBay Motor. Podrás encontrarlo en %s > Configuración > <a target=""_blank"" href=""%s"">General</a>."
"Fees are not set.","No se han establecido tarifas."
"Errors are not set.","No se han establecido errores."
"eBay","eBay"
"Settings","Configuración"
"Magento","Magento"
"View Mode","Modo de visualización"
"View mode is not set.","No se ha establecido el modo de visualización."
"eBay Primary Category Assigned","Categoría principal de eBay asignada"
"Compatibility","Compatibilidad"
"Filled","Relleno"
"Empty","Vacío"
"Edit eBay Primary Categories Settings","Modificar configuración de las categorías principales de eBay"
"Edit eBay Store Primary Categories Settings","Modificar configuración de las categorías principales de la tienda eBay"
"Add Compatible Vehicles","Añadir vehículos compatibles"
"Not Set","Sin establecer"
"Show","Mostrar"
"Product","Atributo"
"Attribute","Producto"
"ePIDs","Identificadores de producto de eBay"
"Compatibility Attribute ePIDs","Identificadores de producto de eBay del atributo de compatibilidad"
"View Listing","Ver anuncio"
"Change Listing","Cambiar anuncio"
"Compatibility Attribute","Atributo de compatibilidad"
"From Products List","De la lista de productos"
"From Categories","De las categorías"
"Add Listing","Añadir anuncio"
"Listings","Anuncios"
"Update Now","Actualizar ahora"
"Save And Update","Guardar y actualizar"
"ePID","Identificador de producto de eBay"
"Car / Truck","Coche/camión"
"Motorcycle","Moto"
"Make","Fabricante"
"Model","Modelo"
"Submodel","Submodelo"
"Year","Año"
"Trim","Elegancia"
"Engine","Motor"
"Overwrite ePIDs in Compatibility Attribute","Sobrescribir identificadores de producto de eBay en el atributo de compatibilidad"
"Add ePIDs to Compatibility Attribute","Añadir identificadores de producto de eBay al atributo de compatibilidad"
"Edit Shipping Address","Modificar dirección de envío"
"Save Order Address","Guardar dirección de pedido"
"Sale Date","Fecha de venta"
"Magento Order #","Número de pedido de Magento"
"eBay Order #","Número de pedido de eBay"
"Items","Artículos"
"Total Paid","Total pagado"
"Reservation","Reserva"
"Not Reserved","No reservado"
"Reserved","Reservado"
"Released","Lanzado"
"Canceled","Cancelado"
"Checkout","Pago y envío"
"Paid","Pagado"
"Shipped","Enviado"
"View","Ver"
"Create Order","Crear pedido"
"Mark As Paid","Marcar como pagado"
"Mark As Shipped","Marcar como enviado"
"Reserve QTY","Reservar cantidad"
"Cancel QTY Reserve","Cancelar reserva de cantidad"
"Mark Order(s) as Shipped","Marcar los pedidos como enviados"
"Mark Order(s) as Paid","Marcar los pedidos como pagados"
"Resend Shipping Information","Reenviar información de envío"
"Deleted","Eliminado"
"edit","modificar"
"Options","Opciones"
"QTY","Cantidad"
"Transaction","Transacción"
"Item","Artículo"
"Transaction #","Transacción nº"
"Fee","Tarifa"
"Amount","Importe"
"Date","Fecha"
"Incl. Tax","Con Impuesto"
"Excl. Tax","Sin Impuesto"
"Original Price","Precio original"
"Tax Percent","Tipo impositivo"
"Row Total","Total de fila"
"View on eBay","Ver en eBay"
"Map to Magento Product","Asignar a producto de Magento"
"Set Options","Establecer opciones"
"View Order Details","Ver datos del pedido"
"Mark as Shipped","Marcar como enviado"
"Mark as Paid","Marcar como pagado"
"Are you sure that you want to create new Magento Order?","¿Estás seguro de que quieres crear un pedido de Magento nuevo?"
"Confirm","Confirmar"
"Run Now","Ejecutar ahora"
"Run Enabled Now","Ejecutar activado ahora"
"Save Settings","Guardar configuración"
"Subtitle","Subtítulo"
"Condition","Estado"
"Condition Description","Descripción del estado"
"Buy It Now Price","Precio ¡Cómpralo ya!"
"Start Price","Precio de salida"
"Reserve Price","Precio mínimo"
"Listing Duration","Duración del anuncio"
"Dispatch Time","Tiempo de envío"
"Primary Category Id","Identificador de categoría principal"
"Secondary Category Id","Identificador de categoría secundaria"
"Store Primary Category Id","Identificador de categoría principal de la tienda"
"Store Secondary Category Id","Identificador de categoría secundaria de la tienda"
"Primary Category Name","Nombre de categoría principal"
"Secondary Category Name","Nombre de categoría secundaria"
"Store Primary Category Name","Nombre de categoría principal de la tienda"
"Store Secondary Category Name","Nombre de categoría secundaria de la tienda"
"Domestic Shipping First Method","Primer método de Envíos nacionales"
"Domestic Shipping First Cost","Primeros gastos de envío de Envíos nacionales"
"Domestic Shipping First Additional Cost","Primeros gastos de envío adicionales de Envíos nacionales"
"International Shipping First Method","Primer método de Envíos internacionales"
"International Shipping First Cost","Primeros gastos de envío de Envíos internacionales"
"International Shipping First Additional Cost","Primeros gastos de envío de Envíos internacionales"
"Insert","Insertar"
"Show / Hide Editor","Mostrar/ocultar editor"
"Preview","Vista previa"
"View Random Product","Ver producto aleatorio"
"Edit ""%s"" %s Policy","Modificar la política %s de ""%s"""
"Add %s Policy","Añadir la política %s"
"Duplicate","Duplicar"
"<br/>
<b>Note:</b> All changes you have made will be automatically applied to all M2E listings where this policy is used.","<br/><b>Nota:</b> todos los cambios realizados se aplicarán automáticamente a todos los anuncios de M2E en los que se usa esta política."
"Template nick is not set.","No se ha establecido el apodo de plantilla."
"Marketplace is required for editing payment template.","Es necesario determinar el mercado para modificar la plantilla de pago."
"Marketplace is required for editing return template.","Es necesario determinar el mercado para modificar la plantilla de devolución."
"Please find more about currency rate set up in'
                . ' <a href=""%s"" target=""_blank"">magento documentation</a>.","Puedes encontrar más información sobre el tipo de cambio de divisa establecido en la' . ' <a href=""%s"" target=""_blank"">documentación de Magento</a>."
"Name","Nombre"
"Select","Seleccionar"
"Reset","Restablecer"
"Marketplace is required for editing shipping template.","Es necesario determinar el mercado para modificar la plantilla de envío."
"Add Policy","Añadir política"
"eBay DateTime object is null","El objeto DateTime de eBay es nulo"
"Wrong action type","Tipo de acción incorrecto"
"Listing ""%listingId%"" locked by other process.","El anuncio ""%listingId%"" está bloqueado por otro proceso."
"Relisting","Volviendo a poner en venta"
"Revising","Revisando"
"Stopping","Deteniendo"
"Item is listed or not available","El artículo ya está en venta o no está disponible"
"Categories settings are not set","No se ha establecido la configuración de las categorías."
"There is another item with the same eBay user ID,
                        product ID and marketplace presented in ""%s"" (%d) Listing.","En el anuncio ""%s"" (%d) ya se presenta otro artículo con el mismo seudónimo de eBay, identificador de producto y mercado."
"Item was successfully listed","El artículo se ha puesto en venta correctamente"
"There is another item with the same eBay user ID,
                    product ID and marketplace presented in ""%s"" (%d) Listing.","En el anuncio ""%s"" (%d) ya se presenta otro artículo con el mismo seudónimo de eBay, identificador de producto y mercado."
"Multiple Item Connector has received empty array","El conector de varios artículos ha recibido una matriz vacía"
"Multiple Item Connector has received invalid product data type","El conector de varios artículos ha recibido un tipo de datos de producto no válido"
"Multiple Item Connector has received products from different listings","El conector de varios artículos ha recibido productos de anuncios distintos"
"Listing product was not found","No se ha encontrado el producto del anuncio."
"The item either is listed, or not listed yet or not available","El artículo ya está en venta, todavía no se ha puesto en venta o no está disponible"
"Item already was started on eBay","El artículo ya se ha iniciado en eBay"
"Item was successfully relisted","El artículo se ha vuelto a poner en venta correctamente"
"This item cannot be accessed on eBay. M2E set Not Listed status.","No se puede acceder a este artículo en eBay. M2E estableció el estado Sin poner en venta."
"Item is not listed or not available","El artículo no está en venta o no está disponible"
"Variation attributes were changed. Please stop and list product.","Se han cambiado los atributos de variante. Detén el producto y ponlo en venta."
"Item was already stopped on eBay","El artículo ya se ha detenido en eBay"
"Item was successfully revised","El artículo se ha revisado correctamente"
"Item was successfully stopped","El artículo se ha detenido correctamente"
"eBay Order status was not updated. Reason: %msg%","El estado del pedido de eBay no se ha actualizado. Motivo: %msg%"
"Status of India site orders cannot be updated if the buyer uses PaisaPay payment method.","El estado de los pedidos del sitio de la India no se puede actualizar si el comprador usa la forma de pago PaisaPay."
"Invalid action.","Esta acción no es válida."
"Payment status for eBay order was not updated. Reason: eBay Failure.","El estado de pago del pedido de eBay no se ha actualizado. Motivo: error de eBay."
"Payment status for eBay order was updated to Paid.","El estado de pago del pedido de eBay se ha actualizado a Pagado."
"Shipping status for eBay order was not updated. Reason: eBay Failure.","El estado de envío del pedido de eBay no se ha actualizado. Motivo: error de eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay.","El número de seguimiento ""%num%"" de ""%code%"" se ha enviado a eBay."
"Shipping status for eBay order was updated to Shipped.","El estado de envío del pedido de eBay se ha actualizado a Enviado."
"Dispute cannot be opened. Reason: Dispute explanation is not defined.","No se puede abrir la disputa. Motivo: no se ha definido la explicación de la disputa."
"Dispute cannot be opened. Reason: Dispute reason is not defined.","No se puede abrir la disputa. Motivo: el motivo de la disputa no está definido."
"Unpaid Item Process was not open for item #%id%. Reason: %msg%","No se ha abierto el proceso para el impago del artículo número %id%. Motivo: %msg%"
"Unpaid Item Process was not open for item #%id%. Reason: eBay failure. Please try again later.","No se ha abierto el proceso para el impago del artículo número %id%. Motivo: error de eBay. Inténtalo de nuevo más tarde."
"Unpaid Item Process for item #%id% has been initiated.","Se ha iniciado el proceso para el impago del artículo número %id%."
"Action was not completed (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","La acción no ha finalizado (artículo: %item_id%, transacción: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: %msg%","El estado de envío no se ha actualizado (artículo: %item_id%, transacción: %trn_id%). Motivo: %msg%"
"Shipping status was not updated (Item: %item_id%, Transaction: %trn_id%). Reason: eBay Failure.","El estado de envío no se ha actualizado (artículo: %item_id%, transacción: %trn_id%). Motivo: error de eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay (Item: %item_id%, Transaction: %trn_id%).","El número de seguimiento ""%num%"" de ""%code%"" se ha enviado a eBay (artículo: %item_id%, transacción: %trn_id%)."
"Order item has been marked as shipped (Item: %item_id%, Transaction: %trn_id%).","El artículo de pedido se ha marcado como enviado (artículo: %item_id%, transacción: %trn_id%)."
"Other listings locked by other process.","Otros anuncios bloqueados por otro proceso."
"The item either is listed or not available","El artículo está puesto en venta o no está disponible"
"The item either is not listed or not available","El artículo no está puesto en venta o no está disponible"
"qty","cantidad"
"price","precio"
"title","título"
"subtitle","subtítulo"
"description","descripción"
"was successfully revised","se ha revisado correctamente"
"Listing ID must be specified.","Debe especificarse el identificador del anuncio."
"%s: attribute(s) %s were not found in this product and its value was not sent.","%s: no se encontraron atributos %s en este producto y su valor no se envió."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: eBay site allows to list only simple items","El producto se puso en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. '. 'Motivo: en el sitio de eBay solo se permite poner en venta artículos simples."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: eBay primary category allows to list only simple items.","El producto se puso en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. '. 'Motivo: la categoría principal de eBay solo permite poner en venta artículos simples."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: ignore variation option is enabled in selling format policy.","El producto se puso en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. '. 'Motivo: la opción de omitir variantes está activada en la política de formato de venta."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: listing type ""auction"" does not support multi-variations.","El producto se puso en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. '. 'Motivo: el formato de anuncio ""subasta"" no admite diferentes variantes."
"Change Images for Attribute","Cambiar imágenes del atributo"
"Duration","Duración"
"Private Listing","Anuncio privado"
