"Product Title / SKU","Produktbezeichnung/Artikelnummer"
"eBay Available QTY","Verfügbare Stückzahl bei eBay"
"eBay Sold QTY","Verkaufte Stückzahl bei eBay"
"eBay Price","Preis bei eBay"
"Status","Status"
"Listed","Eingestellt"
"Listed (Hidden)","Eingestellt (nicht sichtbar)"
"Sold","Verkauft"
"Stopped","Angehalten"
"Finished","Fertig"
"Pending","Noch offen"
"Start Date","Startdatum"
"End Date","Angebotsende"
"Unmap","Zuordnung aufheben"
"View Log","Protokoll anzeigen"
"Clear Log","Protokoll löschen"
"Revise Item(s)","Artikel überarbeiten"
"Relist Item(s)","Artikel wiedereinstellen"
"Stop Item(s)","Artikel anhalten"
"Map Item(s) Automatically","Artikel automatisch zuordnen"
"Move Item(s) to Listing","Artikel in Angebot verschieben"
"Map","Zuordnung"
"Move","Verschieben"
"SKU","Artikelnummer"
"Revise","Überarbeiten"
"Relist","Wiedereinstellen"
"Stop","Stopp"
"Status Change","Statusänderung"
"Manual","Manuell"
"Automatic","Automatik"
"Mapping Product","Produkt wird zugeordnet"
"Product does not exist.","Produkt existiert nicht."
"Please enter correct product ID.","Bitte geben Sie die korrekte Produkt-ID ein."
"Product(s) was successfully mapped.","Produkte wurden zugeordnet."
"Please enter correct product ID or SKU","Bitte geben Sie die korrekte Produkt-ID oder Artikelnummer ein."
"Moving eBay Items.","eBay-Artikel verschieben."
"Products failed to move","Verschieben von Produkten fehlgeschlagen"
"Product(s) was successfully moved.","Produkte wurden verschoben."
"Products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Produkte wurden nicht verschoben. Details dazu finden Sie im <a target=""_blank"" href=""%s"">Protokoll</a>."
"Some of the products were not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Einige der Produkte wurden nicht verschoben. Details dazu finden Sie im <a target=""_blank"" href=""%s"">Protokoll</a>."
"Product was successfully mapped.","Produkt wurde zugeordnet."
"Current eBay version only supports simple products in mapping. Please, choose simple product.","Die aktuelle eBay-Version unterstützt nur Zuordnungen einfacher Produkte. Bitte wählen Sie ein einfaches Produkt."
"Processing %s product(s).","Produkt(e) %s wird/werden verarbeitet."
"Task completed. Please wait ...","Aufgabe abgeschlossen. Bitte warten Sie..."
"""%s"" task has successfully completed.","Die Aufgabe „%s“ wurde erfolgreich abgeschlossen."
"""%s"" task has completed with warnings. <a target=""_blank"" href=""%s"">View log</a> for details.","Die Aufgabe „%s“ wurde mit Warnungen abgeschlossen. Details dazu finden Sie im <a target=""_blank"" href=""%s"">Protokoll</a>."
"""%s"" task has completed with errors. <a target=""_blank"" href=""%s"">View log</a> for details.","Die Aufgabe „%s“ wurde mit Fehlern abgeschlossen. Details dazu finden Sie im <a target=""_blank"" href=""%s"">Protokoll</a>."
"Sending %s product(s) data on eBay.","Daten zu %s-Produkt(en) bei eBay senden."
"View All Product Log.","Alle Produktprotokolle anzeigen."
"The listing was locked by another process. Please try again later.","Das Angebot wurde durch einen anderen Vorgang blockiert. Bitte versuchen Sie es später noch einmal."
"Listing is empty.","Das Angebot ist leer."
"Listing All Items On eBay","Alle Artikel bei eBay einstellen"
"Listing Selected Items On eBay","Ausgewählte Artikel bei eBay einstellen"
"Revising Selected Items On eBay","Ausgewählte Artikel bei eBay überarbeiten"
"Relisting Selected Items On eBay","Ausgewählte Artikel bei eBay wiedereinstellen"
"Stopping Selected Items On eBay","Ausgewählte Artikel bei eBay anhalten"
"Stopping On eBay And Removing From Listing Selected Items","Bei eBay anhalten und ausgewählte Artikel aus dem Angebot entfernen"
"Map Item(s) to Products","Artikel Produkten zuordnen"
"Only mapped products must be selected.","Es können nur zugeordnete Produkte ausgewählt werden."
"Selected items must belong to the same Account and Marketplace.","Die ausgewählten Artikel müssen zu demselben Konto und Marktplatz gehören."
"Please select items.","Bitte wählen Sie Artikel aus."
"Please select action.","Bitte wählen Sie eine Aktion."
"Stock Availability","Verfügbarkeit"
"In Stock","Auf Lager"
"Out of Stock","Nicht mehr vorrätig"
"Price","Preis"
"Qty","Stückzahl"
"Based on Magento Categories","Auf der Basis von Magento-Kategorien"
"You must select at least 1 category.","Sie müssen mindestens 1 Kategorie auswählen."
"Rule with the same title already exists.","Es gibt bereits eine Regel mit dieser Bezeichnung."
"Listing Settings Customization","Anpassung der Angebotseinstellungen"
"eBay/Magento Integration: Products Management","eBay/Magento-Integration: Produktverwaltung"
"Congratulations","Herzlichen Glückwunsch"
"Review Your Items","Artikel überprüfen"
"List Your Items Now","Artikel jetzt einstellen"
"Remove","Entfernen"
"of","von"
"Visibility","Visibilität"
"Websites","Websites "
"Select Products","Produkte auswählen"
"Start Configure","Konfigurieren starten"
"<b>
    Do you want to set up a rule by which products will be automatically added or deleted from the current M2E listing?
</b>.
<br/><br/>
Click Start Configure to create a rule<br/> or Cancel if you do not want to do it now.
<br/><br/>
<b>Note:</b> You can always return to it by clicking Automatic Action button on this page.","<b> Möchten Sie eine Regel einrichten, die dafür sorgt, dass Produkte automatisch zum aktuellen M2E-Angebot hinzugefügt oder aus diesem entfernt werden? </b>.<br/><br/>Wenn Sie jetzt eine Regel erstellen möchten, klicken Sie auf „Konfigurieren starten“. <br/> Wenn Sie jetzt keine Regel erstellen möchten, klicken Sie auf „Abbrechen“.<br/><br/><b>Hinweis:</b> Über die Schaltfläche „Automatische Aktion“ auf dieser Seite können Sie jederzeit dorthin zurückkehren."
"Yes, I Want","Ja"
"No, Skip It","Nein, jetzt nicht"
"Do you want to customise M2E Listing settings for the necessary products?","Möchten Sie die M2E-Angebotseinstellungen für die erforderlichen Produkte anpassen?"
"It is possible to override default settings you set on the previous steps and set different
        settings for the group of products.","Sie können die zuvor festgelegten Standardeinstellungen außer Kraft setzen und für die Produktgruppe andere Einstellungen festlegen."
"Remember my choice","Einstellungen fürs nächste Mal speichern"
"Product Title / Listing / SKU","Produktbezeichnung/Angebot/Artikelnummer"
"Listing Type","Angebotstyp"
"M2E Pro","M2E Pro"
"3rd Party","Drittanbieter"
"""Buy It Now"" Price","Sofort-Kaufen-Preis"
"Unknown","Unbekannt"
"Not Listed","Nicht eingestellt"
"Manage","Verwalten"
"Listing","Angebot"
"receiving","empfangen"
"none","Keine"
"Go to listing","Angebot aufrufen"
"Payment and Shipping Settings","Zahlungs- und Versandeinstellungen"
"Payment","Zahlung"
"Use from Listing Settings","Aus Angebotseinstellungen beziehen"
"Custom Settings","Benutzerspezifische Einstellungen"
"M2E Pro Policy","M2E Pro-Rahmenbedingung"
"eBay Policy","eBay-Rahmenbedingung"
"Shipping","Versand"
"Return","Rücknahme"
"Selling Settings","Verkaufseinstellungen"
"Price, Quantity and Format","Preis, Stückzahl und Format"
"Edit Settings","Einstellungen bearbeiten"
"Edit Payment and Shipping Settings","Zahlungs- und Versandeinstellungen bearbeiten"
"Edit Selling Settings","Verkaufseinstellungen bearbeiten"
"Edit Synchronization Settings","Synchronisierungseinstellungen bearbeiten"
"M2E Pro -> ","M2E Pro -> "
"eBay -> ","eBay-Team -> "
"for","für"
"Set Products Settings","Produkteinstellungen festlegen"
"Add Products","Produkte hinzufügen"
"Payment and Shipping","Zahlung und Versand"
"Selling","Verkaufen"
"Edit Listing Settings ""%s""","Angebotseinstellungen „%s“ bearbeiten"
"Previous Step","Vorheriger Schritt"
"Data source is invalid.","Datenquelle ist ungültig."
"Session key is not defined.","Sitzungsschlüssel ist nicht definiert."
"Save as New Policy","Als neue Rahmenbedingung speichern"
"Template nick is not defined.","Vorlagenkurzname ist nicht definiert."
"Template mode is not initialized.","Vorlagenmodus ist nicht initialisiert."
"Product Title / SKU / eBay Category","Produktbezeichnung/SKU/eBay-Kategorie"
"Available QTY","Verfügbare Stückzahl"
"Adviser","Berater"
"List Item(s) on eBay","Artikel bei eBay einstellen"
"Revise Item(s) on eBay","Artikel bei eBay überarbeiten"
"Relist Item(s) on eBay","Artikel bei eBay wiedereinstellen"
"Stop Item(s) on eBay","Artikel bei eBay anhalten"
"Stop on eBay / Remove From Listing","Bei eBay anhalten/Aus Angebot entfernen"
"Move Item(s) to Another Listing","Artikel in anderes Angebot verschieben"
"Edit eBay Categories Settings","Einstellungen für eBay-Kategorien bearbeiten"
"eBay Fee","eBay-Gebühr"
"estimate","Schätzung"
"List","Einstellen"
"Stop on Channel / Remove from Listing","Im Channel anhalten/Aus Angebot entfernen"
"Success","Erfolg"
"Notice","Hinweis"
"Warning"," Hinweis "
"Error","Fehler"
"Product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Produkte wurden nicht verschoben. Details dazu finden Sie im <a target=""_blank"" href=""%s"">Protokoll</a>."
"Some product(s) was not moved. <a target=""_blank"" href=""%s"">View log</a> for details.","Einige Produkte wurden nicht verschoben. Details dazu finden Sie im <a target=""_blank"" href=""%s"">Protokoll</a>."
"Estimated Fee Details","Details zur Gebührenschätzung"
"Please check eBay Motors compatibility attribute.
            You can find it in %s > Configuration > <a target=""_blank"" href=""%s"">General</a>.","Bitte prüfen Sie das Attribut für die Kompatibilität mit eBay Motors. Sie finden das Attribut in %s > „Konfiguration“ > „<a target=""_blank"" href=""%s"">Allgemeines</a>“."
"Fees are not set.","Keine Gebühren festgelegt."
"Errors are not set.","Keine Fehlermeldungen festgelegt."
"eBay","eBay"
"Settings","Einstellungen"
"Magento","Magento"
"View Mode","Ansichtsmodus"
"View mode is not set.","Kein Ansichtsmodus festgelegt"
"eBay Primary Category Assigned","Hauptkategorie bei eBay zugeordnet"
"Compatibility","Kompatibilität"
"Filled","Ausgefüllt"
"Empty","Leer"
"Edit eBay Primary Categories Settings","Einstellungen für Hauptkategorie bei eBay bearbeiten"
"Edit eBay Store Primary Categories Settings","Einstellungen für Hauptkategorie des eBay Shops bearbeiten"
"Add Compatible Vehicles","Kompatible Fahrzeuge hinzufügen"
"Not Set","Nicht festgelegt"
"Show","Anzeigen"
"Product","Produkt"
"Attribute","Attribut"
"ePIDs","ePIDs"
"Compatibility Attribute ePIDs","Kompatibilitätsattribut-ePIDs"
"View Listing","Angebot anzeigen"
"Change Listing","Angebot ändern"
"Compatibility Attribute","Kompatibilitätsattribut"
"From Products List","Aus Produktliste"
"From Categories","Aus Kategorien"
"Add Listing","Angebot hinzufügen"
"Listings","Angebote"
"Update Now","Jetzt aktualisieren"
"Save And Update","Speichern und aktualisieren"
"ePID","ePID"
"Car / Truck","Pkw/Lkw"
"Motorcycle","Motorrad"
"Make","Marke"
"Model","Modell"
"Submodel","Untermodell"
"Year","Jahr"
"Trim","Ausführung"
"Engine","Motor"
"Overwrite ePIDs in Compatibility Attribute","ePIDs in Kompatibilitätsattribut überschreiben"
"Add ePIDs to Compatibility Attribute","ePIDs zu Kompatibilitätsattribut hinzufügen"
"Edit Shipping Address","Lieferadresse bearbeiten"
"Save Order Address","Rechnungsadresse speichern"
"Sale Date","Verkaufsdatum"
"Magento Order #","Magento-Bestellnummer"
"eBay Order #","eBay-Bestellnummer"
"Items","Artikel"
"Total Paid","Insgesamt bezahlt"
"Reservation","Reservierung"
"Not Reserved","Nicht reserviert"
"Reserved","Reserviert"
"Released","Freigegeben"
"Canceled","Storniert"
"Checkout","Kaufabwicklung"
"Paid","Bezahlt"
"Shipped","Verschickt"
"View","Aufrufen"
"Create Order","Bestellung erstellen"
"Mark As Paid","Als „bezahlt“ markieren"
"Mark As Shipped","Als „verschickt“ markieren"
"Reserve QTY","Stückzahl reservieren"
"Cancel QTY Reserve","Stückzahlreservierung stornieren"
"Mark Order(s) as Shipped","Bestellungen als verschickt markieren"
"Mark Order(s) as Paid","Bestellungen als bezahlt markieren"
"Resend Shipping Information","Versandinformationen erneut senden"
"Deleted","Gelöscht"
"edit","bearbeiten"
"Options","Optionen"
"QTY","Stückzahl"
"Transaction","Transaktion"
"Item","Artikel"
"Transaction #","Transaktionsnr."
"Fee","Gebühr"
"Amount","Betrag"
"Date","Datum"
"Incl. Tax","Inkl. Steuer"
"Excl. Tax","Exkl. Steuer"
"Original Price","Originalpreis"
"Tax Percent","Steuerprozentsatz"
"Row Total","Zeilensumme"
"View on eBay","Bei eBay aufrufen"
"Map to Magento Product","Zu Magento-Produkt zuordnen"
"Set Options","Optionen festlegen"
"View Order Details","Einzelheiten zum Kauf aufrufen"
"Mark as Shipped","Als verschickt markieren"
"Mark as Paid","Als bezahlt markieren"
"Are you sure that you want to create new Magento Order?","Sind Sie sicher, dass Sie eine neue Magento-Bestellung erstellen möchten?"
"Confirm","Bestätigen"
"Run Now","Jetzt ausführen"
"Run Enabled Now","Aktivierte jetzt ausführen"
"Save Settings","Einstellungen speichern"
"Subtitle","Untertitel"
"Condition","Artikelzustand"
"Condition Description","Zustandsbeschreibung"
"Buy It Now Price","Sofort-Kaufen-Preis"
"Start Price","Startpreis"
"Reserve Price","Mindestpreis"
"Listing Duration","Angebotsdauer"
"Dispatch Time","Versandzeit"
"Primary Category Id","ID der Hauptkategorie"
"Secondary Category Id","ID der zweiten Kategorie"
"Store Primary Category Id","ID der Hauptkategorie des eBay Shops"
"Store Secondary Category Id","ID der zweiten Kategorie des eBay Shops"
"Primary Category Name","Bezeichnung der Hauptkategorie"
"Secondary Category Name","Bezeichnung der zweiten Kategorie"
"Store Primary Category Name","Bezeichnung der Hauptkategorie des eBay Shops"
"Store Secondary Category Name","Bezeichnung der zweiten Kategorie des eBay Shops"
"Domestic Shipping First Method","Inlandsversand 1 Methode"
"Domestic Shipping First Cost","Inlandsversand 1 Kosten"
"Domestic Shipping First Additional Cost","Inlandsversand 1 Weitere Kosten"
"International Shipping First Method","Internationaler Versand 1 Methode"
"International Shipping First Cost","Internationaler Versand 1 Kosten"
"International Shipping First Additional Cost","Internationaler Versand 1 Weitere Kosten"
"Insert","Einfügen"
"Show / Hide Editor","Editor anzeigen/ausblenden"
"Preview","Vorschau"
"View Random Product","Beliebiges Produkt aufrufen"
"Edit ""%s"" %s Policy","%s-Rahmenbedingung „%s“ bearbeiten"
"Add %s Policy","%s-Rahmenbedingungen hinzufügen"
"Duplicate","Kopieren"
"<br/>
<b>Note:</b> All changes you have made will be automatically applied to all M2E listings where this policy is used.","<br/><b>Hinweis:</b> Die von Ihnen vorgenommenen Änderungen werden automatisch auf alle M2E-Angebote angewendet, für die diese Rahmenbedingungen gelten."
"Template nick is not set.","Kein Vorlagenkurzname festgelegt."
"Marketplace is required for editing payment template.","Zum Bearbeiten der Vorlage für Zahlungen muss ein Marktplatz angegeben werden."
"Marketplace is required for editing return template.","Zum Bearbeiten der Vorlage für Rücksendungen muss ein Marktplatz angegeben werden."
"Please find more about currency rate set up in'
                . ' <a href=""%s"" target=""_blank"">magento documentation</a>.","Mehr zur Einrichtung von Wechselkursen finden Sie in der' . ' <a href=""%s"" target=""_blank"">Dokumentation zu Magento</a>."
"Name","Name"
"Select","Auswählen"
"Reset","Zurücksetzen"
"Marketplace is required for editing shipping template.","Zum Bearbeiten der Vorlage für den Versand muss ein Marktplatz angegeben werden."
"Add Policy","Rahmenbedingungen hinzufügen"
"eBay DateTime object is null","Das eBay-Datums- und Zeitobjekt ist null"
"Wrong action type","Falscher Aktionstyp"
"Listing ""%listingId%"" locked by other process.","Das Angebot „%listingId%“ ist durch einen anderen Prozess gesperrt."
"Relisting","Wiedereinstellen"
"Revising","Bearbeiten"
"Stopping","Anhalten"
"Item is listed or not available","Der Artikel wurde eingestellt oder ist nicht verfügbar"
"Categories settings are not set","Keine Kategorieeinstellungen festgelegt"
"There is another item with the same eBay user ID,
                        product ID and marketplace presented in ""%s"" (%d) Listing.","Im Angebot „%s“ (%d) wird bereits ein Artikel mit demselben eBay-Nutzernamen, derselben Produkt-ID und demselben Marktplatz angeboten."
"Item was successfully listed","Der Artikel wurde eingestellt"
"There is another item with the same eBay user ID,
                    product ID and marketplace presented in ""%s"" (%d) Listing.","Im Angebot „%s“ (%d) wird bereits ein Artikel mit demselben eBay-Nutzernamen, derselben Produkt-ID und demselben Marktplatz angeboten."
"Multiple Item Connector has received empty array","Der Mehrfachartikel-Connector hat ein leeres Array erhalten"
"Multiple Item Connector has received invalid product data type","Der Mehrfachartikel-Connector hat einen ungültigen Produktdatentyp erhalten"
"Multiple Item Connector has received products from different listings","Der Mehrfachartikel-Connector hat Produkte aus verschiedenen Angeboten erhalten"
"Listing product was not found","Das Angebotsprodukt wurde nicht gefunden"
"The item either is listed, or not listed yet or not available","Der Artikel wurde entweder eingestellt, noch nicht eingestellt oder nicht verfügbar"
"Item already was started on eBay","Der Artikel wurde bereits bei eBay gestartet"
"Item was successfully relisted","Der Artikel wurde wiedereingestellt"
"This item cannot be accessed on eBay. M2E set Not Listed status.","Auf diesen Artikel kann bei eBay nicht zugegriffen werden. M2E hat den Status „Nicht eingestellt“ festgelegt."
"Item is not listed or not available","Der Artikel wurde nicht eingestellt oder ist nicht verfügbar"
"Variation attributes were changed. Please stop and list product.","Die Variantenattribute wurden geändert. Bitte halten Sie das Produkt an und stellen Sie es ein."
"Item was already stopped on eBay","Der Artikel wurde bereits bei eBay angehalten"
"Item was successfully revised","Der Artikel wurde überarbeitet"
"Item was successfully stopped","Der Artikel wurde angehalten"
"eBay Order status was not updated. Reason: %msg%","Der Status des eBay-Kaufs wurde nicht aktualisiert. Grund: %msg%"
"Status of India site orders cannot be updated if the buyer uses PaisaPay payment method.","Der Status von Käufen auf der indischen Website kann nicht aktualisiert werden, wenn der Käufer PaisaPay als Zahlungsmethode wählt."
"Invalid action.","Invalid action."
"Payment status for eBay order was not updated. Reason: eBay Failure.","Der Zahlungsstatus der eBay-Bestellung wurde nicht aktualisiert. Grund: Fehler bei eBay."
"Payment status for eBay order was updated to Paid.","Der Zahlungsstatus der eBay-Bestellung wurde zu „bezahlt“ aktualisiert."
"Shipping status for eBay order was not updated. Reason: eBay Failure.","Der Versandstatus der eBay-Bestellung wurde nicht aktualisiert. Grund: Fehler bei eBay."
"Tracking number ""%num%"" for ""%code%"" has been sent to eBay.","Die Sendungsnummer „%num%“ für „%code%“ wurde an eBay gesendet."
"Shipping status for eBay order was updated to Shipped.","Der Versandstatus für die eBay-Bestellung wurde auf „verschickt“ aktualisiert."
